Sample,Subgenome,RPB,EIF3E
deg_UMA2_112,deg_UMA2_112_A,,
deg_UMA2_112,deg_UMA2_112_B,,
b_TNB8_064,b_TNB8_064_A,,
b_TNB8_064,b_TNB8_064_B,,
b_TNB8_064,b_TNB8_064_C,,
c_MDKH2_074,c_MDKH2_074_A,,
c_MDKH2_074,c_MDKH2_074_B,,
c_MDKH2_074,c_MDKH2_074_C,,
c_MDKH8_075,c_MDKH8_075_A,,
c_MDKH8_075,c_MDKH8_075_B,,
c_MDKH8_075,c_MDKH8_075_C,,
c_PJS1_180,c_PJS1_180_A,,
c_PJS1_180,c_PJS1_180_B,,
c_PJS1_180,c_PJS1_180_C,,
c_PJS2_181,c_PJS2_181_A,,
c_PJS2_181,c_PJS2_181_B,,
c_PJS2_181,c_PJS2_181_C,,
c_RHSK1_182,c_RHSK1_182_A,,
c_RHSK1_182,c_RHSK1_182_B,,
deg_UMA1_111,deg_UMA1_111_A,,
deg_UMA1_111,deg_UMA1_111_B,,
e_OLS17_013,e_OLS17_013_A,,
e_OLS17_013,e_OLS17_013_B,,
e_OLS17_013,e_OLS17_013_C,,
e_OLS3_126,e_OLS3_126_A,,
e_OLS3_126,e_OLS3_126_B,,
e_OLS3_126,e_OLS3_126_C,,
las_PLSK1_168,las_PLSK1_168_A,,
las_PLSK1_168,las_PLSK1_168_B,,
lyc_OLS1_183,lyc_OLS1_183_A,,
lyc_OLS1_183,lyc_OLS1_183_B,,
n_BDJKH2_105,n_BDJKH2_105_A,,
n_BDJKH2_105,n_BDJKH2_105_B,,
n_BDJKH2_105,n_BDJKH2_105_C,,
n_BDJKH5_166,n_BDJKH5_166_A,,
n_BDJKH5_166,n_BDJKH5_166_B,,
n_BDJKH8_106,n_BDJKH8_106_A,,
n_BDJKH8_106,n_BDJKH8_106_B,,
n_BDJKH8_106,n_BDJKH8_106_C,,
n_BDJKH8_106,n_BDJKH8_106_D,,
n_BDZKH2_023,n_BDZKH2_023_A,,
n_BDZKH2_023,n_BDZKH2_023_B,,
n_BDZKH5_128,n_BDZKH5_128_A,,
n_BDZKH5_128,n_BDZKH5_128_B,,
