Iteration	Posterior	Likelihood	Prior	alpha	branch_lengths[1]	branch_lengths[2]	branch_lengths[3]	branch_lengths[4]	branch_lengths[5]	branch_lengths[6]	branch_lengths[7]	branch_lengths[8]	branch_lengths[9]	branch_lengths[10]	branch_lengths[11]	branch_lengths[12]	branch_lengths[13]	branch_lengths[14]	branch_lengths[15]	branch_lengths[16]	branch_lengths[17]	branch_lengths[18]	branch_lengths[19]	branch_lengths[20]	branch_lengths[21]	branch_lengths[22]	branch_lengths[23]	branch_lengths[24]	branch_lengths[25]	branch_lengths[26]	branch_lengths[27]	branch_lengths[28]	branch_lengths[29]	branch_lengths[30]	branch_lengths[31]	branch_lengths[32]	branch_lengths[33]	branch_lengths[34]	branch_lengths[35]	branch_lengths[36]	branch_lengths[37]	branch_lengths[38]	branch_lengths[39]	branch_lengths[40]	branch_lengths[41]	branch_lengths[42]	branch_lengths[43]	branch_lengths[44]	branch_lengths[45]	branch_lengths[46]	branch_lengths[47]	branch_lengths[48]	branch_lengths[49]	branch_lengths[50]	branch_lengths[51]	branch_lengths[52]	branch_lengths[53]	branch_lengths[54]	branch_lengths[55]	branch_lengths[56]	branch_lengths[57]	branch_lengths[58]	branch_lengths[59]	branch_lengths[60]	branch_lengths[61]	branch_lengths[62]	branch_lengths[63]	branch_lengths[64]	branch_lengths[65]	branch_lengths[66]	branch_lengths[67]	branch_lengths[68]	branch_lengths[69]	branch_lengths[70]	branch_lengths[71]	branch_lengths[72]	branch_lengths[73]	branch_lengths[74]	branch_lengths[75]	branch_lengths[76]	branch_lengths[77]	branch_lengths[78]	branch_lengths[79]	branch_lengths[80]	branch_lengths[81]	branch_lengths[82]	branch_lengths[83]	er[1][1]	er[1][2]	er[1][3]	er[1][4]	er[1][5]	er[1][6]	kappa	pi[1][1]	pi[1][2]	pi[1][3]	pi[1][4]	pi[2][1]	pi[2][2]	pi[2][3]	pi[2][4]	rate_multiplier[2]	sr[1]	sr[2]	sr[3]	sr[4]
0	-15057.18	-15234.15	176.9681	3.896074	0.00776844	0.005431538	0.007867555	0.007893983	0.01790362	0.001228684	0.01775367	0.003471197	0.009678804	0.02167882	0.005181382	0.004119162	0.01881413	0.0001788383	0.01025026	0.004654816	0.007406465	0.01985695	0.003360536	0.00851066	0.003995033	0.003678653	0.004452858	0.005816866	0.02323929	0.03181502	0.003537491	0.006342889	0.004432182	0.00676325	0.01071483	0.008588045	0.0002315403	0.007909073	0.01125237	0.002718427	0.0005878789	0.009178258	0.007573101	0.00446621	0.006146458	0.01652565	0.01928888	0.01731462	0.003832827	0.01187748	0.003345473	0.01656731	0.005938944	0.005059679	0.01317929	0.003250653	0.01260904	0.004686836	0.0007823896	0.001175154	0.01707928	0.000525272	0.00803414	0.01862824	0.002195655	0.009583117	0.01124329	0.001468227	0.009631707	0.009960929	0.01222249	0.004310337	0.00462631	0.002475822	0.0113482	0.004947947	0.003330826	0.002186799	0.02256761	0.00648828	0.003788018	0.001460912	0.01291406	0.03178937	0.005879966	0.002826635	0.0009411744	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.2413057	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.3667624	0.44856	0.771537	1.0844	1.6955
1	-11245.56	-11426.19	180.6248	3.896074	0.005410337	0.007636899	0.007867555	0.007893983	0.01162386	0.001526113	0.01775367	0.002593479	0.006666664	0.01957539	0.005181382	0.004494184	0.01881413	0.0001788383	0.008084928	0.004843164	0.004362442	0.01328952	0.00238753	0.00851066	0.003995033	0.003678653	0.004452858	0.008574836	0.02323929	0.0227202	0.003066842	0.006342889	0.004432182	0.00676325	0.01071483	0.007530195	0.0003683243	0.007148829	0.01158041	0.002718427	0.0005878789	0.009178258	0.01028955	0.00446621	0.007542067	0.01652565	0.01610412	0.01731462	0.003832827	0.01187748	0.003345473	0.01656731	0.005938944	0.006424055	0.01176563	0.002722601	0.01260904	0.003922958	0.0006171651	0.001175154	0.01707928	0.000525272	0.009809571	0.01862824	0.001395794	0.009583117	0.01124329	0.001729944	0.009610339	0.009960929	0.01222249	0.004310337	0.003478193	0.003302526	0.006194811	0.004090111	0.003151131	0.003429784	0.02256761	0.006269018	0.004791611	0.001595235	0.01291406	0.03178937	0.005879966	0.001640921	0.001143649	0.156089	0.156089	0.156089	0.156089	0.219555	0.156089	0.2413057	0.195736	0.195736	0.173452	0.435077	0.188737	0.188737	0.188737	0.433788	0.4273546	0.44856	0.771537	1.0844	1.6955
2	-10710.95	-10895.54	184.5852	3.896074	0.004408371	0.007636899	0.007867555	0.005315134	0.01208355	0.002505965	0.01775367	0.002593479	0.006666664	0.01390122	0.002939929	0.004494184	0.01163765	0.0001265968	0.007919153	0.003594913	0.004101766	0.01328952	0.001530608	0.00851066	0.002754269	0.002563825	0.004452858	0.009188363	0.02323929	0.0227202	0.003066842	0.00978746	0.004379019	0.00676325	0.01820076	0.004730339	0.0003779662	0.01324971	0.01194494	0.003027132	0.0004193808	0.009178258	0.009101494	0.003857798	0.005251356	0.01652565	0.01047828	0.0131572	0.003101678	0.01187748	0.002069653	0.01656731	0.004112817	0.006424055	0.01176563	0.002722601	0.01260904	0.003922958	0.0006171651	0.001175154	0.01355129	0.0006857035	0.009809571	0.01862824	0.0008695192	0.008581629	0.007091351	0.001729944	0.009610339	0.008365911	0.01222249	0.002619619	0.003478193	0.002293558	0.006194811	0.004090111	0.002806112	0.004069502	0.02256761	0.006269018	0.00304265	0.001595235	0.01291406	0.03178937	0.005879966	0.001640921	0.0009052826	0.155415	0.155415	0.155415	0.155415	0.222926	0.155415	0.2413057	0.230403	0.230403	0.204172	0.335022	0.225805	0.181979	0.179548	0.412668	0.4273546	0.44856	0.771537	1.0844	1.6955
3	-9874.747	-10064.34	189.5898	3.896074	0.003656107	0.004171317	0.01020483	0.005120545	0.007987131	0.00220335	0.01775367	0.001690672	0.006666664	0.01134587	0.002939929	0.004494184	0.007373218	0.0001265968	0.007602315	0.002382047	0.003610214	0.02173305	0.00131938	0.00851066	0.003191854	0.002786721	0.004452858	0.009188363	0.01524314	0.01838307	0.002507655	0.006469142	0.004379019	0.002936376	0.01933096	0.004730339	0.0003779662	0.01324971	0.01194494	0.003027132	0.0004193808	0.00941467	0.009101494	0.003857798	0.003498689	0.0177469	0.01047828	0.01035839	0.00258093	0.006183645	0.001953307	0.01102477	0.004112817	0.004043648	0.008208573	0.002722601	0.01260904	0.003030899	0.0006171651	0.001175154	0.01355129	0.000631751	0.009809571	0.01862824	0.0008695192	0.009973854	0.007091351	0.001669844	0.008636895	0.008365911	0.01274939	0.002243965	0.003478193	0.001805536	0.00403038	0.003145971	0.002605756	0.004069502	0.02256761	0.006269018	0.00304265	0.001152455	0.01259919	0.03449261	0.005879966	0.00101995	0.0009052826	0.155415	0.155415	0.155415	0.155415	0.222926	0.155415	0.2413057	0.294596	0.211184	0.187142	0.307077	0.232912	0.187706	0.153726	0.425656	0.4273546	0.44856	0.771537	1.0844	1.6955
4	-9520.704	-9712.636	191.9321	3.896074	0.003656107	0.004711965	0.01020483	0.004478618	0.007987131	0.00291796	0.01260284	0.001300051	0.006666664	0.01838459	0.002939929	0.004494184	0.007373218	0.0002046453	0.007602315	0.002382047	0.002773793	0.02173305	0.001024158	0.00851066	0.003129719	0.004593076	0.004452858	0.007014035	0.01524314	0.009613338	0.002507655	0.006469142	0.004379019	0.002936376	0.02939702	0.004730339	0.0003779662	0.01324971	0.008798576	0.003621879	0.0005162402	0.01512296	0.006475359	0.003857798	0.003498689	0.0177469	0.01245422	0.006685198	0.00165139	0.006183645	0.002081505	0.01102477	0.004112817	0.004861924	0.007023101	0.002167372	0.01260904	0.003030899	0.0006171651	0.001175154	0.01355129	0.000631751	0.009809571	0.01636465	0.0005742347	0.008785042	0.00456405	0.002587401	0.008636895	0.008365911	0.01274939	0.002243965	0.003478193	0.001242936	0.002808835	0.0033078	0.002074005	0.004069502	0.009353219	0.006156292	0.002220892	0.001152455	0.01259919	0.03351321	0.005580323	0.00101995	0.001657821	0.107928	0.172216	0.128398	0.172216	0.247025	0.172216	0.2413057	0.29394	0.212941	0.186725	0.306393	0.253208	0.204064	0.167122	0.375606	0.3908441	0.44856	0.771537	1.0844	1.6955
5	-9391.206	-9586.304	195.0979	3.896074	0.002269724	0.004711965	0.01391729	0.004478618	0.006964051	0.005213635	0.01260284	0.001300051	0.004527323	0.01296677	0.002292074	0.004035788	0.007373218	0.0002318033	0.006362582	0.002382047	0.002773793	0.02173305	0.001024158	0.00851066	0.001874559	0.003886871	0.005743956	0.00761779	0.01075563	0.007845624	0.002507655	0.006469142	0.0039273	0.003523079	0.03544853	0.002540847	0.0004656757	0.01324971	0.007428619	0.003621879	0.0004240777	0.008457685	0.006475359	0.003857798	0.003498689	0.0177469	0.01245422	0.006685198	0.001701976	0.006183645	0.002081505	0.01102477	0.004112817	0.004861924	0.006415015	0.002167372	0.01260904	0.001666991	0.0007339456	0.001125736	0.01444007	0.0009690498	0.006152993	0.01636465	0.0005742347	0.008956676	0.004916791	0.002587401	0.008823602	0.008365911	0.008586892	0.001502896	0.003478193	0.001242936	0.003488559	0.004528238	0.002074005	0.003199163	0.006584608	0.006156292	0.002220892	0.001152455	0.01259919	0.02854575	0.005580323	0.0008644307	0.001657821	0.107928	0.172216	0.128398	0.172216	0.247025	0.172216	0.2413057	0.29394	0.212941	0.186725	0.306393	0.269141	0.15398	0.177638	0.399241	0.4230981	0.44856	0.771537	1.0844	1.6955
6	-9325.296	-9519.552	194.2563	3.896074	0.002881148	0.004711965	0.01391729	0.004124427	0.00757804	0.005213635	0.01260284	0.001748026	0.004527323	0.0134154	0.001420894	0.003969949	0.00908529	0.0003650707	0.01349765	0.002382047	0.003740713	0.01414499	0.001269272	0.00851066	0.002326615	0.002772525	0.005208458	0.009025866	0.01403708	0.007845624	0.002057213	0.007737753	0.0039273	0.003523079	0.05010727	0.0030653	0.0003345655	0.00954646	0.009029269	0.004216467	0.0004759555	0.0070253	0.006475359	0.003857798	0.003279658	0.0177469	0.01281128	0.009300445	0.001701976	0.006411925	0.002081505	0.009557668	0.004112817	0.004000807	0.006415015	0.002578669	0.01066612	0.002093946	0.0005369037	0.0007834373	0.009086128	0.0009690498	0.00583549	0.01636465	0.0003913346	0.006222715	0.004916791	0.002178474	0.008823602	0.008365911	0.008586892	0.002041603	0.003618213	0.001242936	0.003488559	0.004528238	0.002074005	0.002501463	0.004211813	0.006185566	0.002220892	0.001822084	0.01259919	0.0287337	0.005580323	0.0008644307	0.001657821	0.0723597	0.172969	0.128959	0.204638	0.248105	0.172969	0.2413057	0.259838	0.188236	0.165062	0.386864	0.269141	0.15398	0.177638	0.399241	0.4230981	0.44856	0.771537	1.0844	1.6955
7	-9242.148	-9439.659	197.511	3.896074	0.002881148	0.004711965	0.01391729	0.004124427	0.00757804	0.006001912	0.01260284	0.001748026	0.004527323	0.009774723	0.001054027	0.003969949	0.00776286	0.0003414006	0.01696594	0.002382047	0.003740713	0.02399153	0.0009606913	0.00851066	0.002750518	0.002772525	0.006123695	0.009025866	0.009501782	0.005410973	0.002057213	0.007737753	0.0039273	0.003943146	0.04705624	0.001847326	0.0003638435	0.00954646	0.009029269	0.004216467	0.0006490138	0.005000536	0.009443898	0.003574844	0.003968524	0.01144533	0.01098788	0.005025669	0.001701976	0.007609779	0.003315045	0.009557668	0.003436473	0.004000807	0.003978641	0.002056336	0.006898762	0.00142257	0.0007330937	0.0007206612	0.009086128	0.001341546	0.004387358	0.007227247	0.0003913346	0.006222715	0.004916791	0.001342364	0.006948888	0.008365911	0.008586892	0.002041603	0.004645289	0.0009286716	0.002652276	0.003954925	0.002074005	0.001726925	0.004042327	0.006185566	0.00196821	0.001135534	0.01259919	0.0287337	0.005580323	0.0007823945	0.002092213	0.150243	0.158447	0.118132	0.187457	0.227275	0.158447	0.2413057	0.259838	0.188236	0.165062	0.386864	0.26294	0.173472	0.173545	0.390043	0.4230981	0.44856	0.771537	1.0844	1.6955
8	-9051.595	-9250.832	199.2368	3.896074	0.002881148	0.004711965	0.01391729	0.004124427	0.00757804	0.006001912	0.01260284	0.001748026	0.004527323	0.01086577	0.0008170778	0.003969949	0.00776286	0.000377859	0.01696594	0.002382047	0.002478184	0.01641005	0.0009606913	0.00974172	0.002750518	0.002772525	0.006123695	0.009025866	0.009501782	0.003594175	0.002215093	0.007148618	0.003067683	0.003943146	0.03071648	0.001847326	0.0004272906	0.00954646	0.006308061	0.003270239	0.0009813938	0.0041727	0.01297982	0.004789332	0.005362514	0.01017985	0.02474972	0.005025669	0.00229463	0.007609779	0.007398604	0.007114298	0.002034061	0.004000807	0.003978641	0.001848165	0.009238448	0.00148723	0.000560168	0.0007206612	0.00583423	0.001341546	0.002797891	0.005320234	0.0003913346	0.006222715	0.004680227	0.001342364	0.006948888	0.006268005	0.012742	0.002041603	0.004645289	0.0009286716	0.002550616	0.003954925	0.002074005	0.001726925	0.004042327	0.005449553	0.001943188	0.001135534	0.01259919	0.02624729	0.005580323	0.0004797187	0.002092213	0.173796	0.163612	0.121983	0.142314	0.234683	0.163612	0.2413057	0.277685	0.201165	0.176399	0.344751	0.26294	0.173472	0.173545	0.390043	0.4327167	0.44856	0.771537	1.0844	1.6955
9	-8901.934	-9100.086	198.1525	3.896074	0.002881148	0.004439278	0.02030396	0.002568479	0.00757804	0.003677052	0.01260284	0.0009302416	0.004527323	0.01086577	0.0010418	0.003357423	0.006369586	0.0003182632	0.02328567	0.00112589	0.002478184	0.01641005	0.0009421159	0.00974172	0.002750518	0.002772525	0.006123695	0.009025866	0.009501782	0.003266614	0.002775482	0.005220446	0.001931832	0.003943146	0.02938035	0.001847326	0.0004272906	0.01021461	0.006308061	0.002457794	0.001300634	0.0041727	0.007446485	0.002539272	0.005362514	0.01198205	0.02757662	0.003343937	0.00229463	0.008194903	0.01071438	0.006399863	0.002034061	0.004089862	0.003978641	0.001848165	0.01077068	0.0009348457	0.00100491	0.0007206612	0.00583423	0.001341546	0.003026757	0.005320234	0.000462053	0.01007074	0.004680227	0.001176115	0.007322165	0.006268005	0.02047591	0.001884285	0.004645289	0.0009286716	0.002550616	0.002497829	0.002074005	0.001726925	0.004042327	0.005841658	0.001943188	0.001135534	0.01259919	0.02624729	0.005580323	0.0004797187	0.001342659	0.16129	0.250247	0.113205	0.132073	0.217796	0.125388	0.2413057	0.277685	0.201165	0.176399	0.344751	0.26294	0.173472	0.173545	0.390043	0.4562429	0.44856	0.771537	1.0844	1.6955
10	-8763.725	-8964.771	201.0452	3.896074	0.003890899	0.004355003	0.02030396	0.001787296	0.00757804	0.003677052	0.01260284	0.0009302416	0.004527323	0.01086577	0.0008897077	0.003357423	0.004164309	0.0003182632	0.02328567	0.001035653	0.002473031	0.01641005	0.0009421159	0.006448429	0.00212197	0.001849278	0.006123695	0.009284467	0.01009298	0.003266614	0.002775482	0.005220446	0.001931832	0.003943146	0.03143535	0.001847326	0.00031483	0.01402366	0.006308061	0.002457794	0.001300634	0.0041727	0.007446485	0.002539272	0.007912285	0.01198205	0.01418844	0.003899108	0.00229463	0.008194903	0.01071438	0.006399863	0.001331247	0.005147563	0.004609338	0.001848165	0.006895856	0.0009245934	0.00100491	0.0005443162	0.00583423	0.001341546	0.002420344	0.005320234	0.0004819852	0.005415228	0.002839891	0.001176115	0.007322165	0.006268005	0.01990219	0.001055554	0.004645289	0.0009286716	0.001621117	0.002332115	0.002112432	0.001726925	0.003697642	0.005954782	0.00206459	0.001135534	0.008373853	0.02624729	0.004464334	0.0003657939	0.00143301	0.115064	0.231434	0.104695	0.122769	0.310077	0.115962	0.2413057	0.277685	0.201165	0.176399	0.344751	0.26294	0.173472	0.173545	0.390043	0.4562429	0.44856	0.771537	1.0844	1.6955
11	-8682.529	-8883.721	201.1921	3.896074	0.003154619	0.004355003	0.02030396	0.002654406	0.006501036	0.004284193	0.01069333	0.0009302416	0.004527323	0.01751976	0.0006067444	0.003357423	0.004164309	0.0003182632	0.03235403	0.001035653	0.002638869	0.01641005	0.0009421159	0.004635304	0.00221316	0.001894747	0.005083187	0.004914197	0.01009298	0.002515418	0.002775482	0.005220446	0.001931832	0.003943146	0.03143535	0.002585085	0.00031483	0.01409737	0.007833532	0.002457794	0.001222959	0.003889263	0.008532532	0.002539272	0.00823401	0.008929145	0.012264	0.00521202	0.00229463	0.01261338	0.01254776	0.006399863	0.001416009	0.005147563	0.002500673	0.001848165	0.005815738	0.0009245934	0.00100491	0.0008272233	0.00583423	0.001341546	0.001980643	0.008282836	0.0007028869	0.005415228	0.002839891	0.001176115	0.006196368	0.004346806	0.01990219	0.001003572	0.004645289	0.0009286716	0.001621117	0.002659908	0.001179064	0.001726925	0.003697642	0.005954782	0.001275548	0.001135534	0.008373853	0.01772159	0.004464334	0.0002466246	0.001917371	0.0814896	0.240214	0.108667	0.127427	0.321841	0.120361	0.2413057	0.277685	0.201165	0.176399	0.344751	0.26294	0.173472	0.173545	0.390043	0.433655	0.44856	0.771537	1.0844	1.6955
