Iteration	Posterior	Likelihood	Prior	alpha	branch_lengths[1]	branch_lengths[2]	branch_lengths[3]	branch_lengths[4]	branch_lengths[5]	branch_lengths[6]	branch_lengths[7]	branch_lengths[8]	branch_lengths[9]	branch_lengths[10]	branch_lengths[11]	branch_lengths[12]	branch_lengths[13]	branch_lengths[14]	branch_lengths[15]	branch_lengths[16]	branch_lengths[17]	branch_lengths[18]	branch_lengths[19]	branch_lengths[20]	branch_lengths[21]	branch_lengths[22]	branch_lengths[23]	branch_lengths[24]	branch_lengths[25]	branch_lengths[26]	branch_lengths[27]	branch_lengths[28]	branch_lengths[29]	branch_lengths[30]	branch_lengths[31]	branch_lengths[32]	branch_lengths[33]	branch_lengths[34]	branch_lengths[35]	branch_lengths[36]	branch_lengths[37]	branch_lengths[38]	branch_lengths[39]	branch_lengths[40]	branch_lengths[41]	branch_lengths[42]	branch_lengths[43]	branch_lengths[44]	branch_lengths[45]	branch_lengths[46]	branch_lengths[47]	branch_lengths[48]	branch_lengths[49]	branch_lengths[50]	branch_lengths[51]	branch_lengths[52]	branch_lengths[53]	branch_lengths[54]	branch_lengths[55]	branch_lengths[56]	branch_lengths[57]	branch_lengths[58]	branch_lengths[59]	branch_lengths[60]	branch_lengths[61]	branch_lengths[62]	branch_lengths[63]	branch_lengths[64]	branch_lengths[65]	branch_lengths[66]	branch_lengths[67]	branch_lengths[68]	branch_lengths[69]	branch_lengths[70]	branch_lengths[71]	branch_lengths[72]	branch_lengths[73]	branch_lengths[74]	branch_lengths[75]	branch_lengths[76]	branch_lengths[77]	branch_lengths[78]	branch_lengths[79]	branch_lengths[80]	branch_lengths[81]	branch_lengths[82]	branch_lengths[83]	branch_lengths[84]	branch_lengths[85]	branch_lengths[86]	branch_lengths[87]	branch_lengths[88]	branch_lengths[89]	branch_lengths[90]	branch_lengths[91]	branch_lengths[92]	branch_lengths[93]	branch_lengths[94]	branch_lengths[95]	branch_lengths[96]	branch_lengths[97]	branch_lengths[98]	branch_lengths[99]	branch_lengths[100]	branch_lengths[101]	branch_lengths[102]	branch_lengths[103]	branch_lengths[104]	branch_lengths[105]	branch_lengths[106]	branch_lengths[107]	branch_lengths[108]	branch_lengths[109]	branch_lengths[110]	branch_lengths[111]	branch_lengths[112]	branch_lengths[113]	branch_lengths[114]	branch_lengths[115]	branch_lengths[116]	branch_lengths[117]	branch_lengths[118]	branch_lengths[119]	branch_lengths[120]	branch_lengths[121]	branch_lengths[122]	branch_lengths[123]	branch_lengths[124]	branch_lengths[125]	branch_lengths[126]	branch_lengths[127]	branch_lengths[128]	branch_lengths[129]	branch_lengths[130]	branch_lengths[131]	branch_lengths[132]	branch_lengths[133]	branch_lengths[134]	branch_lengths[135]	branch_lengths[136]	branch_lengths[137]	branch_lengths[138]	branch_lengths[139]	branch_lengths[140]	branch_lengths[141]	branch_lengths[142]	branch_lengths[143]	branch_lengths[144]	branch_lengths[145]	branch_lengths[146]	branch_lengths[147]	er[1][1]	er[1][2]	er[1][3]	er[1][4]	er[1][5]	er[1][6]	kappa	pi[1][1]	pi[1][2]	pi[1][3]	pi[1][4]	pi[2][1]	pi[2][2]	pi[2][3]	pi[2][4]	rate_multiplier[2]	sr[1]	sr[2]	sr[3]	sr[4]
0	-21824.98	-22065.94	240.9566	9.140297	0.02455485	0.004791432	0.001096738	0.009014001	0.006187921	0.004697349	0.01488421	0.008651262	0.01653535	0.006164247	0.02757311	0.007610296	0.0003855453	0.02015134	0.004423556	0.01562978	0.004846055	0.000900844	0.01172064	0.0004034122	0.004636114	0.00600583	0.01062786	0.003553826	0.0002267379	0.004182448	0.05368688	0.01953127	0.0007805345	0.00638088	0.01081458	0.02183408	0.001819742	0.0006185036	0.005834301	0.006605152	0.02213241	0.00299806	0.004295414	0.003214915	0.02155963	0.001602959	0.02613297	0.006002466	0.009237894	0.001555058	0.01650322	0.006832242	0.003558578	0.004081695	0.002221586	0.01948793	0.04146505	0.02437952	0.02341646	0.000819774	0.01773365	0.01425893	0.03245977	0.01763224	0.00438079	0.001276528	0.0007916869	0.02853109	0.05079636	0.0007483996	0.01714492	0.007494896	0.02744008	0.0008903444	0.005689808	0.01048141	0.001134711	0.004716342	0.006393787	0.008084533	0.002692688	0.00282116	0.003022031	0.001936213	0.01280692	0.008239939	0.008886	0.001091606	0.0213364	0.009895508	0.01434144	0.0009522525	0.002300011	0.005342015	0.004743861	0.01618478	0.004946875	0.0006124127	0.005543689	0.01111284	0.004906366	0.001898955	0.007501078	0.01097046	0.007390537	0.002855713	0.006035902	0.02191923	0.01094103	0.007440267	0.004270056	0.003718353	0.01866716	0.006864319	0.02432005	0.001629601	0.006294935	0.003418833	0.01065137	0.02882293	0.007409241	0.0003481373	0.01698848	0.01263114	0.003597568	0.01068393	0.02865063	0.0115885	0.000187867	0.003614897	0.0203846	0.01427671	0.0007385954	0.02057816	0.01059441	0.002058408	0.008786867	0.02200974	0.0008010866	0.01275446	0.001866824	0.01410972	0.002463865	0.01573662	0.01590932	0.009015402	0.00945946	0.007747277	0.003850334	0.01028567	0.0002286436	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	3.210135	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5950293	0.616368	0.8638	1.07412	1.44571
1	-14964.94	-15218.71	253.7759	9.140297	0.02455485	0.004791432	0.001096738	0.009014001	0.006187921	0.004483325	0.01200023	0.008651262	0.01653535	0.006164247	0.02178835	0.007610296	0.0003855453	0.02015134	0.004423556	0.01108253	0.00476228	0.000900844	0.01172064	0.0004034122	0.005108168	0.003164677	0.01062786	0.003553826	0.0002108194	0.005510546	0.03257867	0.0193484	0.0005000672	0.00638088	0.01081458	0.0151055	0.001819742	0.0008255282	0.004556459	0.006605152	0.01851198	0.003850549	0.002368746	0.003214915	0.02155963	0.001274601	0.02075491	0.006002466	0.007936938	0.001062125	0.01650322	0.007512608	0.005191297	0.004081695	0.004561167	0.02161081	0.02211229	0.02437952	0.02341646	0.0007518751	0.01731945	0.01425893	0.03190394	0.01135055	0.003715038	0.001208212	0.0006381781	0.02853109	0.04572838	0.0007483996	0.01714492	0.004738487	0.02337849	0.0008903444	0.005689808	0.01048141	0.001134711	0.005158357	0.006393787	0.008084533	0.002692688	0.003449784	0.003022031	0.001936213	0.01280692	0.008239939	0.008300988	0.001217427	0.0213364	0.006893203	0.01476169	0.001029857	0.002300011	0.003516267	0.004743861	0.01052193	0.006373413	0.0006124127	0.004932165	0.008407917	0.004906366	0.001898955	0.007501078	0.006795962	0.007390537	0.002855713	0.006035902	0.02191923	0.01094103	0.008789806	0.002880388	0.00266214	0.01866716	0.006864319	0.02432005	0.001754551	0.007593689	0.003418833	0.008755787	0.01968394	0.007409241	0.0003481373	0.01482408	0.01263114	0.003597568	0.01068393	0.02865063	0.0115885	0.000149382	0.003957943	0.01982098	0.01427671	0.0008031008	0.02057816	0.009444289	0.001666135	0.005371953	0.02200974	0.0005845679	0.01275446	0.001866824	0.01410972	0.002463865	0.01649503	0.01590932	0.009015402	0.004834849	0.005937246	0.003850334	0.01028567	0.0002052419	0.113281	0.174157	0.100205	0.100205	0.411945	0.100205	3.210135	0.25	0.25	0.25	0.25	0.348073	0.130451	0.173403	0.348073	0.5950293	0.616368	0.8638	1.07412	1.44571
2	-13508.38	-13768.2	259.8149	9.140297	0.02455485	0.004192083	0.001096738	0.009014001	0.006187921	0.004483325	0.01164835	0.008651262	0.01098416	0.003107182	0.02178835	0.005382286	0.0003378304	0.02403751	0.004559942	0.01108253	0.002381259	0.000900844	0.01172064	0.0005489479	0.005108168	0.003302234	0.01062786	0.00517571	0.0002539012	0.005510546	0.02139777	0.0193484	0.0003279395	0.003138363	0.01765311	0.0151055	0.001819742	0.001267523	0.004556459	0.01068503	0.01851198	0.003850549	0.005011174	0.003214915	0.02155963	0.001274601	0.02075491	0.006002466	0.007499302	0.0006175138	0.01650322	0.007512608	0.005909902	0.004081695	0.004561167	0.02161081	0.01885862	0.02437952	0.02341646	0.0007518751	0.01058246	0.0104409	0.03190394	0.01135055	0.003715038	0.001208212	0.0006379194	0.02853109	0.04572838	0.001133502	0.008734081	0.005200474	0.02277677	0.0008903444	0.005221886	0.007211635	0.001841582	0.003274905	0.005824878	0.006429742	0.001877067	0.0008888287	0.003022031	0.001917009	0.009507218	0.005738483	0.008300988	0.001217427	0.0213364	0.006893203	0.01476169	0.0009395493	0.005809473	0.003516267	0.008939222	0.01052193	0.004259626	0.0003848633	0.00410252	0.005592379	0.004906366	0.001425826	0.007501078	0.006795962	0.006330843	0.002855713	0.00499335	0.02191923	0.01094103	0.0097801	0.002009341	0.002081859	0.01866716	0.006864319	0.02098358	0.001381994	0.007593689	0.003418833	0.007254642	0.01488561	0.007409241	0.0003481373	0.01179161	0.01263114	0.003597568	0.01068393	0.04329312	0.008961852	0.000149382	0.003957943	0.01982098	0.01366808	0.0008031008	0.01500104	0.009444289	0.0008004416	0.005371953	0.02200974	0.0005845679	0.01298433	0.001866824	0.01410972	0.002463865	0.01649503	0.01590932	0.007859716	0.004834849	0.005937246	0.003097795	0.008369809	0.0002052419	0.185302	0.0959503	0.0552072	0.0552072	0.553126	0.0552072	3.210135	0.193881	0.19413	0.193881	0.418108	0.332799	0.168608	0.165794	0.332799	0.5950293	0.616368	0.8638	1.07412	1.44571
3	-12582.02	-12845.12	263.0953	9.140297	0.02455485	0.004192083	0.001514418	0.009014001	0.00478891	0.004483325	0.01406096	0.008756007	0.01098416	0.00331198	0.01390358	0.003453919	0.0002482842	0.02403751	0.004559942	0.01108253	0.002723081	0.0006839091	0.008343494	0.0005489479	0.005108168	0.007944598	0.01062786	0.00517571	0.0002539012	0.003414463	0.02139777	0.0193484	0.0003061589	0.002951293	0.01522472	0.02841528	0.001874909	0.001267523	0.005238906	0.01068503	0.01851198	0.003850549	0.005011174	0.003933218	0.01441127	0.001274601	0.02075491	0.005136475	0.005607907	0.0005756219	0.01650322	0.006772721	0.005909902	0.004081695	0.004561167	0.02161081	0.01885862	0.02502914	0.01850185	0.000940358	0.01058246	0.0104409	0.03190394	0.01135055	0.003746011	0.001208212	0.0006379194	0.02853109	0.04572838	0.001133502	0.008734081	0.005414651	0.02277677	0.0009453066	0.005221886	0.007211635	0.00284718	0.004090184	0.005824878	0.006429742	0.001877067	0.0007605923	0.002397814	0.00136008	0.009952379	0.005738483	0.008300988	0.001299295	0.0213364	0.006893203	0.02286058	0.0005430579	0.005809473	0.003516267	0.008939222	0.01052193	0.004259626	0.000298387	0.00410252	0.001895532	0.004906366	0.001425826	0.007501078	0.006429343	0.006330843	0.002855713	0.00499335	0.0186356	0.01094103	0.006062946	0.002009341	0.002081859	0.01866716	0.006864319	0.02098358	0.001023211	0.007593689	0.002078686	0.005518979	0.01488561	0.007409241	0.0003481373	0.006625753	0.008084911	0.001654269	0.01068393	0.05150065	0.008961852	0.0001449163	0.006034876	0.01982098	0.0108237	0.0005756898	0.01340418	0.009444289	0.0007844641	0.004951257	0.01754098	0.0005845679	0.01401015	0.001830187	0.01410972	0.001511036	0.01649503	0.01590932	0.007859716	0.004834849	0.003743323	0.003679072	0.008369809	0.0001518103	0.185302	0.0959503	0.0552072	0.0552072	0.553126	0.0552072	3.210135	0.193881	0.19413	0.193881	0.418108	0.332799	0.168608	0.165794	0.332799	0.2773246	0.616368	0.8638	1.07412	1.44571
4	-11998.85	-12269.71	270.8581	9.140297	0.02455485	0.004192083	0.001510809	0.004325683	0.003644829	0.004483325	0.01069179	0.007938927	0.006892899	0.002173486	0.01390358	0.003153467	0.0002482842	0.02403751	0.003104863	0.007649702	0.003879476	0.000823099	0.008343494	0.0005489479	0.005108168	0.009518369	0.008531395	0.00517571	0.000530119	0.003414463	0.02139777	0.0193484	0.0003061589	0.002951293	0.01522472	0.02841528	0.00170761	0.001267523	0.005238906	0.01068503	0.01851198	0.003850549	0.002575936	0.005403263	0.01441127	0.001274601	0.01788256	0.005136475	0.005607907	0.0005756219	0.01650322	0.01052297	0.008472486	0.005394261	0.002239404	0.0145502	0.01139803	0.01967012	0.02748464	0.0009155116	0.01568706	0.0104409	0.01486219	0.01135055	0.003746011	0.001208212	0.0008686978	0.02853109	0.03272734	0.001133502	0.005912609	0.004721361	0.0154681	0.0009453066	0.005221886	0.007211635	0.00284718	0.004090184	0.006252346	0.002842076	0.001877067	0.0006097858	0.002397814	0.002742834	0.009952379	0.002663898	0.008300988	0.0009696288	0.0159958	0.006893203	0.02286058	0.0003961783	0.007189977	0.003516267	0.008190148	0.01581182	0.004259626	0.000298387	0.00410252	0.001895532	0.006018221	0.001425826	0.007501078	0.007136039	0.004049769	0.004304162	0.00499335	0.007713438	0.008086517	0.004514377	0.002009341	0.002146079	0.01866716	0.004001248	0.02098358	0.000735284	0.005013174	0.002078686	0.005518979	0.01221856	0.007409241	0.0003461143	0.006625753	0.008084911	0.001654269	0.01068393	0.07301804	0.008961852	0.0001896835	0.005340297	0.01982098	0.0108237	0.000877912	0.01340418	0.009444289	0.0008955943	0.006931645	0.01754098	0.0005845679	0.01401015	0.001830187	0.01410972	0.001939084	0.01056248	0.01590932	0.0061009	0.004834849	0.003743323	0.003679072	0.006895999	0.0001192962	0.17265	0.089399	0.0514378	0.119716	0.51536	0.0514378	3.210135	0.193881	0.19413	0.193881	0.418108	0.315156	0.159669	0.157004	0.368171	0.2773246	0.616368	0.8638	1.07412	1.44571
5	-11174.18	-11448.69	274.5112	9.140297	0.02455485	0.004192083	0.001510809	0.003004627	0.003307312	0.004483325	0.01751857	0.005345436	0.006892899	0.001430592	0.01390358	0.003153467	0.0003967232	0.01764506	0.002014478	0.007649702	0.003879476	0.0007663355	0.008343494	0.0005489479	0.00324528	0.009518369	0.006194086	0.004882284	0.000766336	0.002993054	0.02139777	0.01543524	0.0003061589	0.002951293	0.01522472	0.02841528	0.0020213	0.00117161	0.005238906	0.01397342	0.01851198	0.003850549	0.00338447	0.005403263	0.01159195	0.001274601	0.02756533	0.005136475	0.005607907	0.000938714	0.01650322	0.01383916	0.01833275	0.005872132	0.002561912	0.0145502	0.009214284	0.01967012	0.02081111	0.001187992	0.01568706	0.007690059	0.01486219	0.008425288	0.003746011	0.001208212	0.0008686978	0.02853109	0.03272734	0.001133502	0.006854856	0.005399901	0.0117462	0.0009453066	0.0042914	0.006172021	0.002997067	0.004090184	0.004636683	0.002181747	0.001877067	0.0006097858	0.002289698	0.003130692	0.009952379	0.002663898	0.003583937	0.001411264	0.0159958	0.003680658	0.02472333	0.0003265931	0.007189977	0.003516267	0.008190148	0.01581182	0.004259626	0.0003601436	0.002701223	0.001874244	0.006018221	0.001359598	0.006607276	0.007136039	0.002020636	0.006537788	0.00499335	0.005631804	0.008086517	0.004514377	0.002009341	0.004570772	0.01866716	0.004001248	0.02098358	0.000735284	0.003431159	0.002012049	0.005518979	0.01221856	0.007409241	0.0003461143	0.006625753	0.008084911	0.001321864	0.006651019	0.07301804	0.008961852	0.0001896835	0.005340297	0.01677229	0.006607478	0.000877912	0.01340418	0.009444289	0.001167803	0.005989735	0.01754098	0.000362796	0.01401015	0.001830187	0.01210844	0.001957275	0.01056248	0.01590932	0.0061009	0.004834849	0.002566456	0.002618377	0.005036189	0.0001192962	0.16828	0.112446	0.0501359	0.116686	0.502316	0.0501359	3.210135	0.308355	0.175999	0.163359	0.352286	0.315156	0.159669	0.157004	0.368171	0.2773246	0.616368	0.8638	1.07412	1.44571
6	-10728.52	-11007.28	278.757	9.140297	0.02455485	0.004192083	0.001510809	0.00207123	0.002120985	0.004483325	0.01751857	0.00415512	0.006169566	0.001843725	0.01390358	0.003112742	0.0004253837	0.01588801	0.001715066	0.00581216	0.003879476	0.000605411	0.008343494	0.0008341922	0.00324528	0.007877424	0.006194086	0.004206232	0.0011927	0.001975063	0.02139777	0.007489817	0.0003061589	0.002951293	0.01522472	0.02446875	0.002154068	0.001426203	0.005390009	0.009288445	0.01919889	0.004708911	0.003296608	0.01217885	0.01159195	0.001274601	0.01721756	0.005704911	0.004590446	0.000938714	0.01650322	0.01383916	0.01833275	0.005872132	0.002561912	0.0145502	0.008000132	0.01810871	0.01548131	0.001622789	0.01568706	0.01036508	0.01486219	0.008425288	0.00289272	0.00126857	0.0006315754	0.02853109	0.03272734	0.001173878	0.00690049	0.006847631	0.0117462	0.001154343	0.006248515	0.004497656	0.003944685	0.005101058	0.003508527	0.003166742	0.002187133	0.0006899266	0.002264315	0.002628638	0.009952379	0.002663898	0.003583937	0.00067524	0.0159958	0.003680658	0.02054718	0.0006817255	0.005713417	0.002837835	0.007166245	0.01581182	0.002568801	0.0003601436	0.002847595	0.002112138	0.008761394	0.0009486733	0.005826097	0.007136039	0.001774546	0.006537788	0.00499335	0.005588784	0.007351806	0.002765214	0.001877063	0.004232002	0.01866716	0.0053786	0.02098358	0.000735284	0.003431159	0.002012049	0.005518979	0.008256242	0.005913782	0.0003117545	0.007718981	0.008084911	0.0008214734	0.006651019	0.08410921	0.008961852	0.0001307708	0.005340297	0.01677229	0.005503939	0.001004675	0.009301956	0.009099836	0.001167803	0.005989735	0.01754098	0.000362796	0.01401015	0.001830187	0.01164035	0.001957275	0.009205377	0.01590932	0.0061009	0.004834849	0.002566456	0.002618377	0.004983188	9.090861e-05	0.167308	0.111797	0.0498462	0.116012	0.499414	0.0556243	3.210135	0.248157	0.191318	0.177577	0.382948	0.315156	0.159669	0.157004	0.368171	0.210551	0.616368	0.8638	1.07412	1.44571
7	-10398.37	-10677.36	278.9885	9.140297	0.02455485	0.004192083	0.002006809	0.004277838	0.002120985	0.004483325	0.0228768	0.00415512	0.004134028	0.001793185	0.009809643	0.0018199	0.0004253837	0.01588801	0.001656191	0.006033531	0.003879476	0.0009218523	0.008803448	0.0008341922	0.003274954	0.01215018	0.006194086	0.004206232	0.0011927	0.003016789	0.02139777	0.006101369	0.0004859149	0.002515841	0.01522472	0.01680534	0.00138961	0.001426203	0.005390009	0.008332708	0.01256935	0.004515337	0.003337735	0.01217885	0.01401166	0.001828654	0.01649365	0.003831054	0.005811386	0.001256008	0.01093255	0.01315951	0.01833275	0.005872132	0.002561912	0.0145502	0.008000132	0.02009866	0.01548131	0.002010292	0.02204067	0.006571226	0.01486219	0.008425288	0.00289272	0.001657255	0.0008050392	0.02853109	0.03272734	0.001160715	0.009016636	0.006847631	0.0117462	0.001111631	0.006248515	0.003776567	0.002224415	0.007361135	0.002788215	0.002410097	0.002051498	0.0004651653	0.002264315	0.003622631	0.004845459	0.002669405	0.003583937	0.00067524	0.01158683	0.002847567	0.02054718	0.0006817255	0.005713417	0.005264814	0.007166245	0.01581182	0.00270034	0.0002847469	0.002847595	0.0008507938	0.01217446	0.0005305522	0.007156854	0.007652087	0.001774546	0.03172599	0.00499335	0.005588784	0.007351806	0.002765214	0.002067425	0.003000014	0.01866716	0.005835816	0.02676081	0.0005268254	0.003431159	0.001880459	0.00345633	0.009410532	0.005913782	0.0005016842	0.007718981	0.004954226	0.0008214734	0.006651019	0.08410921	0.008961852	0.0001307708	0.005340297	0.01868442	0.003556854	0.001377891	0.009301956	0.009099836	0.0008882233	0.005989735	0.01256456	0.0005721131	0.01401015	0.001830187	0.01164035	0.001957275	0.006334804	0.009579216	0.0061009	0.004834849	0.002566456	0.002618377	0.003338551	0.0001577109	0.122733	0.127994	0.0546058	0.0866323	0.5471	0.0609356	3.210135	0.252648	0.19478	0.162695	0.389878	0.315156	0.159669	0.157004	0.368171	0.210551	0.616368	0.8638	1.07412	1.44571
8	-10308.15	-10591.33	283.1791	9.140297	0.02455485	0.004192083	0.002006809	0.004277838	0.001400831	0.003695814	0.01593923	0.00415512	0.005087254	0.001222248	0.009809643	0.001796222	0.0004253837	0.01588801	0.001656191	0.006296526	0.003069992	0.001216671	0.008803448	0.00081317	0.003131559	0.01269956	0.006194086	0.004206232	0.00112665	0.003129976	0.02139777	0.006101369	0.0002648826	0.001755014	0.01522472	0.01680534	0.001076549	0.001682741	0.003470831	0.01194803	0.01256935	0.01066294	0.003337735	0.01217885	0.01401166	0.001828654	0.01649365	0.00517853	0.005811386	0.001780399	0.009857583	0.01279449	0.01833275	0.006593492	0.002844452	0.01482784	0.008000132	0.01457667	0.01318649	0.001436219	0.02204067	0.00617498	0.01403542	0.007521056	0.004325714	0.001657255	0.0005454621	0.02853109	0.02709273	0.001647658	0.009016636	0.006847631	0.0117462	0.00120144	0.004432458	0.002753356	0.002613665	0.006950197	0.002100073	0.002410097	0.003754231	0.0004651653	0.002247278	0.003622631	0.003631346	0.00243934	0.001505551	0.00067524	0.01158683	0.002847567	0.01657081	0.0006817255	0.005426936	0.007657222	0.007166245	0.01581182	0.00270034	0.0002847469	0.002847595	0.0005626186	0.009815855	0.0005305522	0.007156854	0.007652087	0.0022592	0.03172599	0.00499335	0.005588784	0.007351806	0.002908426	0.002067425	0.003440091	0.01866716	0.006146037	0.02676081	0.0002975153	0.001945529	0.0007470647	0.00345633	0.009410532	0.002398819	0.0005016842	0.009738181	0.004954226	0.0002815209	0.007096353	0.08410921	0.009620614	0.0001585655	0.004191166	0.01332693	0.003556854	0.001377891	0.007377821	0.004485394	0.0008882233	0.005989735	0.01256456	0.0005721131	0.01401015	0.001830187	0.01033636	0.001596075	0.005745783	0.005857035	0.0061009	0.004834849	0.005791808	0.002285761	0.003382824	0.0001577109	0.150991	0.157463	0.0671784	0.106579	0.449831	0.0679572	3.210135	0.252648	0.19478	0.162695	0.389878	0.315156	0.159669	0.157004	0.368171	0.2350506	0.616368	0.8638	1.07412	1.44571
9	-10138.05	-10428.54	290.49	9.140297	0.02455485	0.004192083	0.002006809	0.004277838	0.0008661623	0.005389113	0.01593923	0.003225326	0.005087254	0.001222248	0.009809643	0.001909334	0.0005099551	0.01603853	0.001734754	0.008847233	0.003069992	0.001216671	0.008803448	0.00081317	0.003131559	0.01470683	0.006194086	0.004206232	0.001576106	0.003129976	0.01822466	0.006101369	0.0002648826	0.001141183	0.009429433	0.01443428	0.001333032	0.001658922	0.003559549	0.008278896	0.01366506	0.01158517	0.003337735	0.006988195	0.01763138	0.003104814	0.01175562	0.006703487	0.00413297	0.001226229	0.009857583	0.007032015	0.01762513	0.005116187	0.00270842	0.007426516	0.005287786	0.01203669	0.01318649	0.001436219	0.01970981	0.004016391	0.01403542	0.006061231	0.005894164	0.001657255	0.001409948	0.04690033	0.02709273	0.0009234582	0.009016636	0.008360058	0.0117462	0.00120144	0.003317186	0.003165916	0.002085795	0.006950197	0.002100073	0.002338648	0.003476764	0.0004651653	0.001588906	0.003622631	0.003397866	0.00243934	0.001355913	0.00067524	0.01032468	0.002847567	0.01039501	0.0009072412	0.006411744	0.007657222	0.007166245	0.01581182	0.001982825	0.0002847469	0.002958219	0.0005626186	0.007636344	0.0006506845	0.007156854	0.007652087	0.0022592	0.03172599	0.002442035	0.005955441	0.007351806	0.001726579	0.002067425	0.003470116	0.01512482	0.00683973	0.02368388	0.0004191024	0.001945529	0.001212037	0.00345633	0.009410532	0.002273945	0.0005016842	0.01437196	0.005472861	0.0003160345	0.007096353	0.06142962	0.009620614	6.521461e-05	0.001482866	0.01332693	0.00323718	0.001028566	0.007377821	0.002631125	0.0007586606	0.003735851	0.01256456	0.0006918348	0.01240665	0.001830187	0.005933062	0.001596075	0.004586924	0.003727521	0.00572627	0.004834849	0.006239903	0.002285761	0.003382824	0.0002424466	0.153426	0.160002	0.0682615	0.108297	0.457084	0.0529299	3.210135	0.252648	0.19478	0.162695	0.389878	0.315156	0.159669	0.157004	0.368171	0.2231861	0.616368	0.8638	1.07412	1.44571
