Sample,Subgenome,RPB,EIF3E
deg_UMA2_112,deg_UMA2_112_A,,
deg_UMA2_112,deg_UMA2_112_B,,
n_BDJKH2_105,n_BDJKH2_105_A,,
n_BDJKH2_105,n_BDJKH2_105_B,,
n_BDJKH2_105,n_BDJKH2_105_C,,
n_BDJKH5_166,n_BDJKH5_166_A,,
n_BDJKH5_166,n_BDJKH5_166_B,,
n_BDJKH8_106,n_BDJKH8_106_A,,
n_BDJKH8_106,n_BDJKH8_106_B,,
n_BDJKH8_106,n_BDJKH8_106_C,,
n_BDJKH8_106,n_BDJKH8_106_D,,
n_BDZKH2_023,n_BDZKH2_023_A,,
n_BDZKH2_023,n_BDZKH2_023_B,,
n_BDZKH5_128,n_BDZKH5_128_A,,
n_BDZKH5_128,n_BDZKH5_128_B,,
n_BDZKH5_128,n_BDZKH5_128_C,,
n_BDZKH5_128,n_BDZKH5_128_D,,
n_BDZKH8_024,n_BDZKH8_024_A,,
n_BDZKH8_024,n_BDZKH8_024_B,,
n_BDZKH8_024,n_BDZKH8_024_C,,
n_BHA1_067,n_BHA1_067_A,,
n_BHA1_067,n_BHA1_067_B,,
n_BHA1_067,n_BHA1_067_C,,
n_BHA1_067,n_BHA1_067_D,,
n_BHD3_145,n_BHD3_145_A,,
n_BHD3_145,n_BHD3_145_B,,
n_BHD3_145,n_BHD3_145_C,,
n_BHD3_145,n_BHD3_145_D,,
n_BKO2_053,n_BKO2_053_A,,
n_BKO2_053,n_BKO2_053_B,,
n_BKO2_053,n_BKO2_053_C,,
n_BKO2_053,n_BKO2_053_D,,
n_BKO22_138,n_BKO22_138_A,,
n_BKO22_138,n_BKO22_138_B,,
n_BKO22_138,n_BKO22_138_C,,
n_BKO22_138,n_BKO22_138_D,,
n_VJJS2_011,n_VJJS2_011_A,,
n_VJJS2_011,n_VJJS2_011_B,,
n_VJJS2_011,n_VJJS2_011_C,,
