state	power	likelihood
501	1.10629e-05	-13947.4
502	1.10629e-05	-12936.8
503	1.10629e-05	-15262.2
504	1.10629e-05	-14395.8
505	1.10629e-05	-16242.4
506	1.10629e-05	-14748.1
507	1.10629e-05	-11874.9
508	1.10629e-05	-12253.3
509	1.10629e-05	-11279.4
510	1.10629e-05	-12204
511	1.10629e-05	-11172.3
512	1.10629e-05	-11694.6
513	1.10629e-05	-11789.2
514	1.10629e-05	-11256.4
515	1.10629e-05	-13265.5
516	1.10629e-05	-13348.4
517	1.10629e-05	-12099.4
518	1.10629e-05	-11468
519	1.10629e-05	-11050
520	1.10629e-05	-13232.6
521	1.10629e-05	-12526.9
522	1.10629e-05	-12234.1
523	1.10629e-05	-11705
524	1.10629e-05	-13260.2
525	1.10629e-05	-13885.7
526	1.10629e-05	-13115.5
527	1.10629e-05	-12612.1
528	1.10629e-05	-11818.2
529	1.10629e-05	-11631.6
530	1.10629e-05	-12063.2
531	1.10629e-05	-12420.7
532	1.10629e-05	-13078.5
533	1.10629e-05	-14277.3
534	1.10629e-05	-13383.9
535	1.10629e-05	-14057.4
536	1.10629e-05	-13280.9
537	1.10629e-05	-12593.4
538	1.10629e-05	-16527.1
539	1.10629e-05	-16724.1
540	1.10629e-05	-13246.4
541	1.10629e-05	-12520.6
542	1.10629e-05	-12482
543	1.10629e-05	-11843.6
544	1.10629e-05	-14194.9
545	1.10629e-05	-11942.7
546	1.10629e-05	-11423
547	1.10629e-05	-11362
548	1.10629e-05	-10639.8
549	1.10629e-05	-11658.1
550	1.10629e-05	-11103.5
551	1.10629e-05	-10984.9
552	1.10629e-05	-12207.1
553	1.10629e-05	-13389.7
554	1.10629e-05	-11679.5
555	1.10629e-05	-12399.6
556	1.10629e-05	-11975.9
557	1.10629e-05	-12134
558	1.10629e-05	-11826.1
559	1.10629e-05	-11764.8
560	1.10629e-05	-10569.2
561	1.10629e-05	-11005.8
562	1.10629e-05	-10177
563	1.10629e-05	-13879.1
564	1.10629e-05	-12206.1
565	1.10629e-05	-11683.3
566	1.10629e-05	-12860.7
567	1.10629e-05	-10735.7
568	1.10629e-05	-10642.5
569	1.10629e-05	-10480.8
570	1.10629e-05	-10412.4
571	1.10629e-05	-11115.5
572	1.10629e-05	-12277.8
573	1.10629e-05	-12735.9
574	1.10629e-05	-14418.3
575	1.10629e-05	-14137.5
576	1.10629e-05	-13139.7
577	1.10629e-05	-11595.7
578	1.10629e-05	-13290.7
579	1.10629e-05	-13085.3
580	1.10629e-05	-13247.1
581	1.10629e-05	-12193.7
582	1.10629e-05	-10933.4
583	1.10629e-05	-11683.3
584	1.10629e-05	-12770.4
585	1.10629e-05	-13083.4
586	1.10629e-05	-11591.1
587	1.10629e-05	-12693
588	1.10629e-05	-11192.6
589	1.10629e-05	-13385.5
590	1.10629e-05	-11899.8
591	1.10629e-05	-11267.4
592	1.10629e-05	-10885.5
593	1.10629e-05	-11945.5
594	1.10629e-05	-13877.9
595	1.10629e-05	-14164.9
596	1.10629e-05	-13592.3
597	1.10629e-05	-12053.8
598	1.10629e-05	-15144.7
599	1.10629e-05	-12121
600	1.10629e-05	-12531.7
601	1.10629e-05	-13376.8
602	1.10629e-05	-12250.7
603	1.10629e-05	-15241.4
604	1.10629e-05	-15110.4
605	1.10629e-05	-14367.9
606	1.10629e-05	-14233.1
607	1.10629e-05	-12330
608	1.10629e-05	-14752.9
609	1.10629e-05	-15664
610	1.10629e-05	-14998.4
611	1.10629e-05	-14090.1
612	1.10629e-05	-13607.4
613	1.10629e-05	-13303.3
614	1.10629e-05	-13034.9
615	1.10629e-05	-14336.8
616	1.10629e-05	-13080.6
617	1.10629e-05	-12002.5
618	1.10629e-05	-12720.3
619	1.10629e-05	-13544.1
