state	power	likelihood
251	1	-8020.67
252	1	-8018.97
253	1	-8018.92
254	1	-8019.01
255	1	-8015.9
256	1	-8013.46
257	1	-8012.88
258	1	-8015.84
259	1	-8016.94
260	1	-8014.17
261	1	-8012.7
262	1	-8012.82
263	1	-8012.98
264	1	-8015.2
265	1	-8015.07
266	1	-8015.49
267	1	-8016.69
268	1	-8019.45
269	1	-8013.63
270	1	-8016.16
271	1	-8014.26
272	1	-8020.43
273	1	-8019.63
274	1	-8022.47
275	1	-8024.74
276	1	-8019.96
277	1	-8017.81
278	1	-8018.13
279	1	-8019.63
280	1	-8018.62
281	1	-8016.33
282	1	-8019.57
283	1	-8021.89
284	1	-8027.42
285	1	-8021.41
286	1	-8022.59
287	1	-8020.46
288	1	-8020.21
289	1	-8026.17
290	1	-8020.9
291	1	-8023.34
292	1	-8024.22
293	1	-8028.53
294	1	-8022.22
295	1	-8026.41
296	1	-8024.04
297	1	-8022.45
298	1	-8021.84
299	1	-8020.23
300	1	-8018.65
301	1	-8015.19
302	1	-8016.89
303	1	-8019.74
304	1	-8015.25
305	1	-8012.5
306	1	-8014.24
307	1	-8017.69
308	1	-8017.85
309	1	-8018.1
310	1	-8021.74
311	1	-8020.25
312	1	-8020.51
313	1	-8020.66
314	1	-8027.25
315	1	-8025.5
316	1	-8025.25
317	1	-8022.22
318	1	-8022.11
319	1	-8021.29
320	1	-8022.72
321	1	-8019.2
322	1	-8017.13
323	1	-8021.05
324	1	-8019.91
325	1	-8019.87
326	1	-8018.52
327	1	-8014.66
328	1	-8013.8
329	1	-8014.05
330	1	-8013.61
331	1	-8014.87
332	1	-8017.5
333	1	-8018.96
334	1	-8018.68
335	1	-8015.26
336	1	-8018.2
337	1	-8018.84
338	1	-8016.71
339	1	-8018.6
340	1	-8025.72
341	1	-8023.77
342	1	-8020.65
343	1	-8028.55
344	1	-8021.42
345	1	-8026.27
346	1	-8024.74
347	1	-8026.21
348	1	-8029.05
349	1	-8030.29
350	1	-8029.42
351	1	-8027.48
352	1	-8026.1
353	1	-8022.65
354	1	-8021.41
355	1	-8014.54
356	1	-8015.97
357	1	-8016.54
358	1	-8019.5
359	1	-8020.76
360	1	-8025.04
361	1	-8026.9
362	1	-8025.03
363	1	-8020.35
364	1	-8021.67
365	1	-8025.85
366	1	-8024.58
367	1	-8022.58
368	1	-8024.86
369	1	-8020.8
370	1	-8023.23
371	1	-8022.84
372	1	-8020
373	1	-8018.47
374	1	-8027.45
375	1	-8022.07
376	1	-8021
377	1	-8022
378	1	-8025.85
379	1	-8030.74
380	1	-8031.06
381	1	-8023.77
382	1	-8020.03
383	1	-8022.76
384	1	-8027.07
385	1	-8023.14
386	1	-8020.11
387	1	-8022.86
388	1	-8018.06
389	1	-8016.12
390	1	-8020.34
391	1	-8016.89
392	1	-8021.78
393	1	-8016.02
394	1	-8017.47
395	1	-8016.19
396	1	-8015.94
397	1	-8018.66
398	1	-8024.27
399	1	-8023.9
400	1	-8023.94
401	1	-8028.17
402	1	-8022.59
403	1	-8014.83
404	1	-8020.33
405	1	-8020.06
406	1	-8024.18
407	1	-8022.63
408	1	-8024.18
409	1	-8031.11
410	1	-8032.04
411	1	-8023.05
412	1	-8032.62
413	1	-8033.39
414	1	-8027.52
415	1	-8026.09
416	1	-8022.27
417	1	-8019.58
418	1	-8017.34
419	1	-8016.61
420	1	-8015.99
421	1	-8016.92
422	1	-8021.71
423	1	-8019.4
424	1	-8020.05
425	1	-8017.77
426	1	-8019.67
427	1	-8017.12
428	1	-8018.3
429	1	-8019.22
430	1	-8019.09
431	1	-8021.17
432	1	-8017.7
433	1	-8020.32
434	1	-8015.43
435	1	-8022.22
436	1	-8020.79
437	1	-8023.05
438	1	-8016.8
439	1	-8020.64
440	1	-8018.51
441	1	-8022.76
442	1	-8021.36
443	1	-8019.32
444	1	-8015.95
445	1	-8019.67
446	1	-8018.34
447	1	-8025.94
448	1	-8025.05
449	1	-8029.87
450	1	-8021.67
451	1	-8018.25
452	1	-8021.67
453	1	-8021.1
454	1	-8018.98
455	1	-8017.9
456	1	-8026.77
457	1	-8018.02
458	1	-8022.14
459	1	-8019.24
460	1	-8021.97
461	1	-8026.08
462	1	-8026.29
463	1	-8026.99
464	1	-8021.12
465	1	-8023.47
466	1	-8020.88
467	1	-8024.08
468	1	-8021.91
469	1	-8022.72
470	1	-8022.44
471	1	-8020.12
472	1	-8028.68
473	1	-8023.67
474	1	-8018.34
475	1	-8019.9
476	1	-8024.95
477	1	-8030.09
478	1	-8029.34
479	1	-8027.37
480	1	-8026.33
481	1	-8032.88
482	1	-8019.53
483	1	-8024.12
484	1	-8021.33
485	1	-8024.22
486	1	-8019.74
487	1	-8016.23
488	1	-8015.42
489	1	-8015.64
490	1	-8015.62
491	1	-8012.52
492	1	-8017.07
493	1	-8018.38
494	1	-8017.36
495	1	-8016.48
496	1	-8017.14
497	1	-8018.17
498	1	-8022.03
499	1	-8021.58
500	1	-8021.95
501	1	-8022.12
502	1	-8022.12
503	1	-8019.59
504	1	-8024.25
505	1	-8024.87
506	1	-8024.07
507	1	-8019.94
508	1	-8019
509	1	-8020.65
510	1	-8021.91
511	1	-8017.31
512	1	-8012.21
513	1	-8014.18
514	1	-8014.92
515	1	-8015.71
516	1	-8013.45
517	1	-8019.1
518	1	-8022.92
519	1	-8022.08
520	1	-8019.1
521	1	-8019.83
522	1	-8016.86
523	1	-8014.93
524	1	-8020.61
525	1	-8021.18
526	1	-8021.47
527	1	-8019.89
528	1	-8023.95
529	1	-8023.96
530	1	-8019.48
531	1	-8020.68
532	1	-8018.37
533	1	-8019.68
534	1	-8018.31
535	1	-8021.81
536	1	-8021.86
537	1	-8020.12
538	1	-8020.85
539	1	-8018.94
540	1	-8019.12
541	1	-8019.08
542	1	-8016.76
543	1	-8016
544	1	-8018.7
545	1	-8015.43
546	1	-8016.51
547	1	-8018.73
548	1	-8025.21
549	1	-8021.35
550	1	-8023.99
551	1	-8026.55
552	1	-8019.92
553	1	-8017.81
554	1	-8016.56
555	1	-8017.08
556	1	-8016.86
557	1	-8021.18
558	1	-8022.67
559	1	-8017.98
560	1	-8018.48
561	1	-8017.43
562	1	-8020.9
563	1	-8024.09
