state	power	likelihood
251	0.586349	-8039.37
252	0.586349	-8038.61
253	0.586349	-8041.97
254	0.586349	-8041.8
255	0.586349	-8043.22
256	0.586349	-8043.53
257	0.586349	-8043.51
258	0.586349	-8042.44
259	0.586349	-8041.99
260	0.586349	-8032.45
261	0.586349	-8027.83
262	0.586349	-8040.05
263	0.586349	-8027.51
264	0.586349	-8030
265	0.586349	-8030.38
266	0.586349	-8031.61
267	0.586349	-8020.79
268	0.586349	-8028.75
269	0.586349	-8027.11
270	0.586349	-8029.73
271	0.586349	-8034.6
272	0.586349	-8040.95
273	0.586349	-8037.05
274	0.586349	-8047.49
275	0.586349	-8036.83
276	0.586349	-8026.57
277	0.586349	-8024.36
278	0.586349	-8026.73
279	0.586349	-8032.97
280	0.586349	-8033.91
281	0.586349	-8036.43
282	0.586349	-8025.96
283	0.586349	-8037.86
284	0.586349	-8027.8
285	0.586349	-8021.72
286	0.586349	-8019.63
287	0.586349	-8028.27
288	0.586349	-8033.77
289	0.586349	-8030.46
290	0.586349	-8034.76
291	0.586349	-8035.52
292	0.586349	-8028.71
293	0.586349	-8027.7
294	0.586349	-8036.75
295	0.586349	-8030.36
296	0.586349	-8031.96
297	0.586349	-8029.59
298	0.586349	-8028.15
299	0.586349	-8031.98
300	0.586349	-8030.44
301	0.586349	-8038.15
302	0.586349	-8033.09
303	0.586349	-8033.85
304	0.586349	-8031.38
305	0.586349	-8039.25
306	0.586349	-8032.54
307	0.586349	-8035.07
308	0.586349	-8031.49
309	0.586349	-8045.36
310	0.586349	-8032.8
311	0.586349	-8026.82
312	0.586349	-8035.89
313	0.586349	-8036.14
314	0.586349	-8035.62
315	0.586349	-8022.48
316	0.586349	-8031.22
317	0.586349	-8046.25
318	0.586349	-8048.7
319	0.586349	-8044.98
320	0.586349	-8039.24
321	0.586349	-8039.32
322	0.586349	-8032.37
323	0.586349	-8032.98
324	0.586349	-8025.01
325	0.586349	-8030.5
326	0.586349	-8026.27
327	0.586349	-8031.05
328	0.586349	-8036.87
329	0.586349	-8037.3
330	0.586349	-8038.82
331	0.586349	-8031.91
332	0.586349	-8036.5
333	0.586349	-8037.89
334	0.586349	-8027.25
335	0.586349	-8044.03
336	0.586349	-8040.42
337	0.586349	-8036.31
338	0.586349	-8046.07
339	0.586349	-8036.89
340	0.586349	-8031.85
341	0.586349	-8037.86
342	0.586349	-8044.09
343	0.586349	-8037.99
344	0.586349	-8044.98
345	0.586349	-8027.2
346	0.586349	-8025.54
347	0.586349	-8030.76
348	0.586349	-8050.39
349	0.586349	-8044.84
350	0.586349	-8041.96
351	0.586349	-8040.78
352	0.586349	-8039.39
353	0.586349	-8035.11
354	0.586349	-8030.43
355	0.586349	-8039.43
356	0.586349	-8042.11
357	0.586349	-8029.32
358	0.586349	-8036.7
359	0.586349	-8032.24
360	0.586349	-8044.15
361	0.586349	-8043.11
362	0.586349	-8046.07
363	0.586349	-8028.99
364	0.586349	-8027.78
365	0.586349	-8031.28
366	0.586349	-8023.26
367	0.586349	-8024.55
368	0.586349	-8033.37
369	0.586349	-8032.5
370	0.586349	-8036.64
371	0.586349	-8037.27
372	0.586349	-8026.34
373	0.586349	-8028.51
374	0.586349	-8034.34
375	0.586349	-8053.2
376	0.586349	-8046.31
377	0.586349	-8036.4
378	0.586349	-8033.59
379	0.586349	-8040.17
380	0.586349	-8034.53
381	0.586349	-8035.77
382	0.586349	-8035.16
383	0.586349	-8036.66
384	0.586349	-8035.63
385	0.586349	-8037.64
386	0.586349	-8032.44
387	0.586349	-8030.05
388	0.586349	-8024.41
389	0.586349	-8026
390	0.586349	-8026.82
391	0.586349	-8026.68
392	0.586349	-8027.09
393	0.586349	-8030.38
394	0.586349	-8040.5
395	0.586349	-8032.56
396	0.586349	-8027.07
397	0.586349	-8028.12
398	0.586349	-8020.61
399	0.586349	-8039.42
400	0.586349	-8040.25
401	0.586349	-8038.61
402	0.586349	-8040.29
403	0.586349	-8031.3
404	0.586349	-8028.67
405	0.586349	-8021.27
406	0.586349	-8023.21
407	0.586349	-8028.49
408	0.586349	-8036.04
409	0.586349	-8032.44
410	0.586349	-8038.94
