state	power	likelihood
251	0.0182445	-8778.28
252	0.0182445	-8644.98
253	0.0182445	-9148.96
254	0.0182445	-8911.52
255	0.0182445	-8554.73
256	0.0182445	-8650.89
257	0.0182445	-8921.55
258	0.0182445	-9096.51
259	0.0182445	-8598.49
260	0.0182445	-8625.14
261	0.0182445	-8801.57
262	0.0182445	-8923.8
263	0.0182445	-8927.88
264	0.0182445	-9004.72
265	0.0182445	-8668.47
266	0.0182445	-9149.56
267	0.0182445	-8689.21
268	0.0182445	-8485.65
269	0.0182445	-8662.06
270	0.0182445	-8672.29
271	0.0182445	-8644.92
272	0.0182445	-8711.95
273	0.0182445	-8617.24
274	0.0182445	-8711.47
275	0.0182445	-8773.49
276	0.0182445	-8636.75
277	0.0182445	-8776.25
278	0.0182445	-8734.14
279	0.0182445	-8768.31
280	0.0182445	-8594.96
281	0.0182445	-8706.56
282	0.0182445	-8686.41
283	0.0182445	-8816.72
284	0.0182445	-8728.66
285	0.0182445	-8869.46
286	0.0182445	-8682.77
287	0.0182445	-8812.43
288	0.0182445	-8753.96
289	0.0182445	-9227.47
290	0.0182445	-8935.16
291	0.0182445	-8678.3
292	0.0182445	-8626.81
293	0.0182445	-8779.45
294	0.0182445	-8875.92
295	0.0182445	-9152.08
296	0.0182445	-8791.64
297	0.0182445	-8878.22
298	0.0182445	-8753.08
299	0.0182445	-8513.72
300	0.0182445	-8490.6
301	0.0182445	-8532.92
302	0.0182445	-8584.82
303	0.0182445	-8731.69
304	0.0182445	-8720.29
305	0.0182445	-8987.34
306	0.0182445	-8699.57
307	0.0182445	-8797.4
308	0.0182445	-8933.33
309	0.0182445	-9009.41
310	0.0182445	-8634.09
311	0.0182445	-8742.01
312	0.0182445	-9014.5
313	0.0182445	-8882.93
314	0.0182445	-8748.55
315	0.0182445	-8855.21
316	0.0182445	-9013.27
317	0.0182445	-8678
318	0.0182445	-8908.48
319	0.0182445	-8754.37
320	0.0182445	-8915.52
321	0.0182445	-8802.76
322	0.0182445	-8890.36
323	0.0182445	-9054.8
324	0.0182445	-8911.91
325	0.0182445	-8975.44
326	0.0182445	-8506.36
327	0.0182445	-8732.26
328	0.0182445	-8641.69
329	0.0182445	-8660.24
330	0.0182445	-8596.74
331	0.0182445	-8627.84
332	0.0182445	-8476.53
333	0.0182445	-8575.85
334	0.0182445	-8832.37
335	0.0182445	-8704.96
336	0.0182445	-8636.13
337	0.0182445	-8754.97
338	0.0182445	-8957.97
339	0.0182445	-8686.86
340	0.0182445	-8669.82
341	0.0182445	-8614.83
342	0.0182445	-8903
343	0.0182445	-8955.19
344	0.0182445	-8822.65
345	0.0182445	-8776.9
346	0.0182445	-8681.02
347	0.0182445	-8871.2
348	0.0182445	-8743.11
349	0.0182445	-8756.71
350	0.0182445	-8709.17
351	0.0182445	-8632.71
352	0.0182445	-8647.11
353	0.0182445	-8927.68
354	0.0182445	-8804.34
355	0.0182445	-8678.74
356	0.0182445	-8880.34
357	0.0182445	-8783.61
358	0.0182445	-8940.13
359	0.0182445	-8787.57
360	0.0182445	-8675.81
361	0.0182445	-8839.23
362	0.0182445	-9029.23
363	0.0182445	-8916.32
364	0.0182445	-8941.82
365	0.0182445	-9021.61
366	0.0182445	-8937.88
367	0.0182445	-9170.39
368	0.0182445	-8995.41
369	0.0182445	-8518.31
370	0.0182445	-8919.34
371	0.0182445	-8853.18
372	0.0182445	-8821
373	0.0182445	-8768.52
374	0.0182445	-8817.38
375	0.0182445	-8574.8
376	0.0182445	-8442.5
377	0.0182445	-8644.49
378	0.0182445	-8590.31
379	0.0182445	-8532.67
380	0.0182445	-8632.08
381	0.0182445	-8452.55
382	0.0182445	-8607.69
383	0.0182445	-8687.76
384	0.0182445	-9033.49
385	0.0182445	-8528.66
386	0.0182445	-8769.59
387	0.0182445	-8870.57
388	0.0182445	-8696.2
389	0.0182445	-8744.04
390	0.0182445	-8712.3
391	0.0182445	-8812.2
392	0.0182445	-8801.21
393	0.0182445	-8776.29
394	0.0182445	-8561.8
395	0.0182445	-8561.96
396	0.0182445	-8761.29
397	0.0182445	-8551.64
398	0.0182445	-8683.14
399	0.0182445	-8778.34
400	0.0182445	-8978.52
401	0.0182445	-9030.33
402	0.0182445	-8746
403	0.0182445	-8607.41
404	0.0182445	-8593.79
405	0.0182445	-8485.44
406	0.0182445	-8435.48
407	0.0182445	-8547.48
408	0.0182445	-8823.06
409	0.0182445	-8812.04
410	0.0182445	-8739.19
411	0.0182445	-8522.6
412	0.0182445	-8696.82
413	0.0182445	-8731.36
414	0.0182445	-9023.28
415	0.0182445	-8708.21
416	0.0182445	-8593.09
417	0.0182445	-8547.21
418	0.0182445	-8458.45
419	0.0182445	-8645.25
420	0.0182445	-8691.82
421	0.0182445	-8628.72
422	0.0182445	-8916.96
423	0.0182445	-9064.97
424	0.0182445	-8943.15
425	0.0182445	-9046.85
426	0.0182445	-8968.26
427	0.0182445	-8798.64
428	0.0182445	-8734.06
429	0.0182445	-8761.39
430	0.0182445	-9022.12
431	0.0182445	-8810.45
432	0.0182445	-8684.62
433	0.0182445	-8585.36
434	0.0182445	-8788.2
435	0.0182445	-8677.28
436	0.0182445	-8649.72
437	0.0182445	-8821.65
438	0.0182445	-8709.68
439	0.0182445	-9054.25
440	0.0182445	-8525.61
441	0.0182445	-8598.51
442	0.0182445	-8906.83
443	0.0182445	-8787.21
444	0.0182445	-8847.55
445	0.0182445	-8766.52
446	0.0182445	-8765.25
447	0.0182445	-8503.21
448	0.0182445	-8805.75
449	0.0182445	-8684.34
450	0.0182445	-8539.37
451	0.0182445	-8501.9
452	0.0182445	-8480.25
453	0.0182445	-8781.18
454	0.0182445	-8823.42
455	0.0182445	-8926.24
456	0.0182445	-8792.53
457	0.0182445	-8593.53
458	0.0182445	-8678.46
459	0.0182445	-8451.11
460	0.0182445	-8833.29
461	0.0182445	-8567.28
462	0.0182445	-8865.17
463	0.0182445	-8982.02
464	0.0182445	-8994.91
465	0.0182445	-9415.53
466	0.0182445	-8943.61
467	0.0182445	-8754.12
468	0.0182445	-8675.22
469	0.0182445	-8597.28
470	0.0182445	-8632.48
471	0.0182445	-8657.42
472	0.0182445	-8864.46
473	0.0182445	-8587.89
474	0.0182445	-8771.62
475	0.0182445	-8909.7
476	0.0182445	-8891.24
477	0.0182445	-8546.59
478	0.0182445	-8991.47
479	0.0182445	-8721.44
480	0.0182445	-8845.57
481	0.0182445	-8815.72
482	0.0182445	-8979.09
483	0.0182445	-8922.26
484	0.0182445	-8862.41
485	0.0182445	-8754.28
486	0.0182445	-8758.36
487	0.0182445	-8501.06
488	0.0182445	-8482.73
489	0.0182445	-8621.28
490	0.0182445	-8574.39
491	0.0182445	-8394.29
492	0.0182445	-8739.7
493	0.0182445	-8870.78
494	0.0182445	-8674.73
495	0.0182445	-8564.29
496	0.0182445	-8954.91
497	0.0182445	-8498.82
498	0.0182445	-8481.29
499	0.0182445	-8838.76
500	0.0182445	-8671.32
501	0.0182445	-8702.12
502	0.0182445	-8749.48
503	0.0182445	-8837.81
504	0.0182445	-8654.02
505	0.0182445	-8594.55
506	0.0182445	-8757.88
507	0.0182445	-8444.81
508	0.0182445	-8698.83
509	0.0182445	-8508.62
510	0.0182445	-8661.93
511	0.0182445	-8596.47
512	0.0182445	-8808.89
513	0.0182445	-8786.16
514	0.0182445	-8988.01
515	0.0182445	-8844.91
516	0.0182445	-8697.5
517	0.0182445	-8651.79
518	0.0182445	-8644.88
519	0.0182445	-8733.95
520	0.0182445	-8770.04
521	0.0182445	-9306.65
522	0.0182445	-8908.47
523	0.0182445	-8812.59
524	0.0182445	-8686.58
525	0.0182445	-8551.92
526	0.0182445	-8718.56
527	0.0182445	-8716.88
528	0.0182445	-8908.7
529	0.0182445	-8673.54
530	0.0182445	-8882.51
531	0.0182445	-8742.09
532	0.0182445	-8590.67
533	0.0182445	-8632.92
534	0.0182445	-8664.04
535	0.0182445	-8567.92
536	0.0182445	-8630.59
537	0.0182445	-8553.69
538	0.0182445	-8699.47
539	0.0182445	-8890.86
540	0.0182445	-9097.84
541	0.0182445	-8908.46
542	0.0182445	-8778.74
543	0.0182445	-8770.37
544	0.0182445	-8727.26
545	0.0182445	-8827.13
546	0.0182445	-9061.55
547	0.0182445	-8896.84
548	0.0182445	-8647.4
549	0.0182445	-8807.61
550	0.0182445	-8803.76
551	0.0182445	-8826.52
552	0.0182445	-8940.52
553	0.0182445	-9097.09
554	0.0182445	-8930.79
555	0.0182445	-8977.28
556	0.0182445	-8802.46
557	0.0182445	-8584.15
558	0.0182445	-8767.64
