state	power	likelihood
251	1	-8077.76
252	1	-8079.13
253	1	-8078.81
254	1	-8078.66
255	1	-8078.55
256	1	-8074.15
257	1	-8079.07
258	1	-8081.08
259	1	-8079.6
260	1	-8074.26
261	1	-8076.12
262	1	-8080.76
263	1	-8079.74
264	1	-8076.68
265	1	-8077.08
266	1	-8078.61
267	1	-8076.18
268	1	-8075.53
269	1	-8077.7
270	1	-8079.55
271	1	-8085.9
272	1	-8082.37
273	1	-8081.94
274	1	-8089.37
275	1	-8084.22
276	1	-8077.41
277	1	-8074.29
278	1	-8074.17
279	1	-8070.91
280	1	-8074.75
281	1	-8080.39
282	1	-8079.06
283	1	-8080.57
284	1	-8079.33
285	1	-8073.6
286	1	-8083.6
287	1	-8081.74
288	1	-8074.89
289	1	-8078.59
290	1	-8083.43
291	1	-8079.33
292	1	-8079.47
293	1	-8079.67
294	1	-8078.85
295	1	-8076.92
296	1	-8077
297	1	-8077.85
298	1	-8083.24
299	1	-8079.35
300	1	-8079.63
301	1	-8081.79
302	1	-8076.46
303	1	-8080.51
304	1	-8079.42
305	1	-8075.07
306	1	-8073.86
307	1	-8083.7
308	1	-8084.97
309	1	-8083.8
310	1	-8082.52
311	1	-8078.14
312	1	-8077.67
313	1	-8077.56
314	1	-8075.36
315	1	-8078.2
316	1	-8078.02
317	1	-8079.63
318	1	-8074.54
319	1	-8077.66
320	1	-8075.05
321	1	-8077.97
322	1	-8077.54
323	1	-8075.36
324	1	-8076.41
325	1	-8075.18
326	1	-8075.35
327	1	-8080.18
328	1	-8075.59
329	1	-8073.69
330	1	-8075.51
331	1	-8074.9
332	1	-8076.6
333	1	-8081.47
334	1	-8084.3
335	1	-8077.7
336	1	-8074.1
337	1	-8077.53
338	1	-8077.63
339	1	-8074.54
340	1	-8077.13
341	1	-8080.12
342	1	-8077.28
343	1	-8078.08
344	1	-8074.7
345	1	-8074.69
346	1	-8079.03
347	1	-8082.67
348	1	-8080.64
349	1	-8075.46
350	1	-8077.22
351	1	-8075.6
352	1	-8073.81
353	1	-8075.24
354	1	-8077.18
355	1	-8079.33
356	1	-8081.66
357	1	-8081.23
358	1	-8081.87
359	1	-8080.94
360	1	-8083.34
361	1	-8079.9
362	1	-8080.91
363	1	-8078.23
364	1	-8084.47
365	1	-8088.54
366	1	-8084.82
367	1	-8089.54
368	1	-8084.59
369	1	-8079.83
370	1	-8078.31
371	1	-8082.07
372	1	-8081.55
373	1	-8085.42
374	1	-8081.31
375	1	-8077.87
376	1	-8082.76
377	1	-8082.38
378	1	-8078.3
379	1	-8079.58
380	1	-8076.73
381	1	-8070.85
382	1	-8071.48
383	1	-8076.52
384	1	-8083.98
385	1	-8083.67
386	1	-8085.47
387	1	-8094.77
388	1	-8092.71
389	1	-8081.88
390	1	-8083.15
391	1	-8089.62
392	1	-8090.15
393	1	-8084.34
394	1	-8081.12
395	1	-8079.12
396	1	-8076.92
397	1	-8074.66
398	1	-8075.88
399	1	-8072.8
400	1	-8077.09
401	1	-8076.7
402	1	-8076.36
403	1	-8073.46
404	1	-8082.27
405	1	-8079.97
406	1	-8080.87
407	1	-8081.55
408	1	-8083.97
409	1	-8088.89
410	1	-8079.4
411	1	-8079.41
412	1	-8079.64
413	1	-8082.41
414	1	-8082.32
415	1	-8080.88
416	1	-8086.1
417	1	-8082.59
418	1	-8088.99
419	1	-8084.33
420	1	-8078.28
421	1	-8073.73
422	1	-8074.81
423	1	-8073.46
424	1	-8077.31
425	1	-8073.89
426	1	-8079.8
427	1	-8079.16
428	1	-8079.01
429	1	-8085.71
430	1	-8089.13
431	1	-8086.07
432	1	-8077.35
433	1	-8084.82
434	1	-8090.58
435	1	-8074.76
436	1	-8077.24
437	1	-8079.67
438	1	-8078.79
439	1	-8079.73
440	1	-8077.05
441	1	-8081.53
442	1	-8078.76
443	1	-8073.73
444	1	-8072
445	1	-8072.86
446	1	-8071.68
447	1	-8075.81
448	1	-8078.44
449	1	-8078.06
450	1	-8075.01
451	1	-8076.85
452	1	-8074.75
453	1	-8074.99
454	1	-8072.95
455	1	-8070.66
456	1	-8073.62
457	1	-8074.65
458	1	-8075.4
459	1	-8076.72
460	1	-8074.85
461	1	-8072.11
462	1	-8072.99
463	1	-8073.07
464	1	-8077.28
465	1	-8074.01
466	1	-8074.21
467	1	-8074.28
468	1	-8076.47
469	1	-8071.9
470	1	-8071.96
471	1	-8074.35
472	1	-8078.78
473	1	-8079.65
474	1	-8083.58
475	1	-8075.5
476	1	-8076.41
477	1	-8076.3
478	1	-8074.67
479	1	-8077.31
480	1	-8078.29
481	1	-8079.47
482	1	-8078.83
483	1	-8074.32
484	1	-8073.31
485	1	-8073.84
486	1	-8075.55
487	1	-8073.2
488	1	-8073.88
489	1	-8071.38
490	1	-8072.79
491	1	-8071.04
492	1	-8075.68
493	1	-8082.34
494	1	-8080.37
495	1	-8077.65
496	1	-8080.92
497	1	-8083.99
498	1	-8085.81
499	1	-8081.57
500	1	-8086.37
501	1	-8085.4
502	1	-8079.85
503	1	-8082.55
504	1	-8077.03
505	1	-8077.55
506	1	-8076.63
507	1	-8075.08
508	1	-8074.41
509	1	-8072.72
510	1	-8081.41
511	1	-8079.78
512	1	-8080.98
513	1	-8077.54
514	1	-8075.96
515	1	-8077.19
516	1	-8072.97
517	1	-8073.18
518	1	-8073.56
519	1	-8072.06
520	1	-8071.26
521	1	-8077.03
522	1	-8078.76
523	1	-8072.61
524	1	-8073.34
525	1	-8075.42
526	1	-8076.76
527	1	-8076.33
528	1	-8074.3
529	1	-8078.11
530	1	-8078.7
531	1	-8078.81
532	1	-8076
533	1	-8073.47
534	1	-8077.59
535	1	-8077.5
536	1	-8080.53
537	1	-8079.21
538	1	-8077.64
539	1	-8077.33
540	1	-8083.54
541	1	-8083.12
542	1	-8082.25
