state	power	likelihood
251	0.0182445	-8445.75
252	0.0182445	-8438.07
253	0.0182445	-8548.94
254	0.0182445	-8583.89
255	0.0182445	-8736.79
256	0.0182445	-8621.28
257	0.0182445	-8520.84
258	0.0182445	-8469.98
259	0.0182445	-8626.25
260	0.0182445	-8861.34
261	0.0182445	-8629.78
262	0.0182445	-8701.1
263	0.0182445	-8721.44
264	0.0182445	-8761.57
265	0.0182445	-8824.25
266	0.0182445	-8788.87
267	0.0182445	-8777.4
268	0.0182445	-8425.95
269	0.0182445	-8960.06
270	0.0182445	-8849.28
271	0.0182445	-8391.52
272	0.0182445	-8722.04
273	0.0182445	-8554.13
274	0.0182445	-8606.82
275	0.0182445	-8462.61
276	0.0182445	-8598.45
277	0.0182445	-8668.7
278	0.0182445	-8861.16
279	0.0182445	-8521.37
280	0.0182445	-8556.19
281	0.0182445	-8648.67
282	0.0182445	-8823.15
283	0.0182445	-8637.35
284	0.0182445	-8472.74
285	0.0182445	-8624.71
286	0.0182445	-8911.24
287	0.0182445	-9168.08
288	0.0182445	-8808.17
289	0.0182445	-8845.43
290	0.0182445	-8648.56
291	0.0182445	-8555.71
292	0.0182445	-8577.41
293	0.0182445	-8677.01
294	0.0182445	-8909.84
295	0.0182445	-8755.05
296	0.0182445	-8405.8
297	0.0182445	-8573.74
298	0.0182445	-8671.06
299	0.0182445	-8355.25
300	0.0182445	-8672.93
301	0.0182445	-8609.02
302	0.0182445	-8505.92
303	0.0182445	-8775.78
304	0.0182445	-8730.67
305	0.0182445	-8371.69
306	0.0182445	-8679.18
307	0.0182445	-8658.65
308	0.0182445	-8554.14
309	0.0182445	-8581.84
310	0.0182445	-8503.85
311	0.0182445	-8630.98
312	0.0182445	-8567.67
313	0.0182445	-8664.19
314	0.0182445	-8575.22
315	0.0182445	-8674.79
316	0.0182445	-8629.07
317	0.0182445	-8683.33
318	0.0182445	-8523.2
319	0.0182445	-8790.1
320	0.0182445	-8580.32
321	0.0182445	-8737.04
322	0.0182445	-8550.12
323	0.0182445	-8525.66
324	0.0182445	-8511.2
325	0.0182445	-8588.06
326	0.0182445	-8459.96
327	0.0182445	-8386.81
328	0.0182445	-8478.82
329	0.0182445	-8448.57
330	0.0182445	-8351.73
331	0.0182445	-8570.92
332	0.0182445	-8770.01
333	0.0182445	-9234.43
334	0.0182445	-8700.69
335	0.0182445	-8737.78
336	0.0182445	-8782.2
337	0.0182445	-8559.37
338	0.0182445	-8698.56
339	0.0182445	-8805.85
340	0.0182445	-8609.41
341	0.0182445	-8968.88
342	0.0182445	-8486.36
343	0.0182445	-8938.17
344	0.0182445	-8624.62
345	0.0182445	-8631.89
346	0.0182445	-8750.29
347	0.0182445	-8701.35
348	0.0182445	-8651.43
349	0.0182445	-8553.45
350	0.0182445	-8595.94
351	0.0182445	-8571.2
352	0.0182445	-8609.34
353	0.0182445	-8711.03
354	0.0182445	-8702.09
355	0.0182445	-8698.55
356	0.0182445	-8684.86
357	0.0182445	-8772.6
358	0.0182445	-8736.99
359	0.0182445	-8964.34
360	0.0182445	-8698.21
361	0.0182445	-8482.68
362	0.0182445	-8569.26
363	0.0182445	-8362.45
364	0.0182445	-8396.94
365	0.0182445	-8525.34
366	0.0182445	-8832.75
367	0.0182445	-8673.54
368	0.0182445	-8677.11
369	0.0182445	-8962.47
370	0.0182445	-8938.24
371	0.0182445	-8782.17
372	0.0182445	-8698.12
373	0.0182445	-8862.51
374	0.0182445	-8787.13
375	0.0182445	-8710.24
376	0.0182445	-8796.53
377	0.0182445	-8868.15
378	0.0182445	-9053.5
379	0.0182445	-8566.09
380	0.0182445	-8904.42
381	0.0182445	-8619.83
382	0.0182445	-8592.99
383	0.0182445	-8820.51
384	0.0182445	-8659.2
385	0.0182445	-8632.8
386	0.0182445	-8476.42
387	0.0182445	-8960.3
388	0.0182445	-8924.68
389	0.0182445	-8818.3
390	0.0182445	-8751.09
391	0.0182445	-8660.9
392	0.0182445	-8811.25
393	0.0182445	-8637.41
394	0.0182445	-8654.84
395	0.0182445	-8544.61
396	0.0182445	-8786.21
397	0.0182445	-8808.51
398	0.0182445	-8647.81
399	0.0182445	-8470.51
400	0.0182445	-8446.14
401	0.0182445	-8642.11
402	0.0182445	-8695.81
403	0.0182445	-8705.94
404	0.0182445	-9022.56
405	0.0182445	-9051.4
406	0.0182445	-8704.68
407	0.0182445	-8719.45
408	0.0182445	-8661.6
409	0.0182445	-8727.25
410	0.0182445	-8882.9
411	0.0182445	-8665.19
412	0.0182445	-8653.53
413	0.0182445	-8637.51
414	0.0182445	-8657.76
415	0.0182445	-8597.66
416	0.0182445	-8591.97
417	0.0182445	-8878.55
418	0.0182445	-8847.2
419	0.0182445	-8729.16
420	0.0182445	-8884.57
421	0.0182445	-8853.93
422	0.0182445	-8502.3
423	0.0182445	-8894.34
424	0.0182445	-8782.45
425	0.0182445	-8691.45
426	0.0182445	-8794.68
427	0.0182445	-8657.71
428	0.0182445	-8717.27
429	0.0182445	-8367.39
430	0.0182445	-8588.54
431	0.0182445	-8654.82
432	0.0182445	-8618.94
433	0.0182445	-8683.19
434	0.0182445	-8610.41
435	0.0182445	-8612.25
436	0.0182445	-8489.73
437	0.0182445	-8765.69
438	0.0182445	-8692.38
439	0.0182445	-8911.82
440	0.0182445	-8652.05
441	0.0182445	-8529.37
442	0.0182445	-8743.97
443	0.0182445	-8732.83
444	0.0182445	-8714.63
445	0.0182445	-8763.75
446	0.0182445	-8666.45
447	0.0182445	-8708.76
448	0.0182445	-8732.97
449	0.0182445	-8774.76
450	0.0182445	-8490.69
451	0.0182445	-8449.21
452	0.0182445	-8654.59
453	0.0182445	-8776.4
454	0.0182445	-8649.94
455	0.0182445	-8550.03
456	0.0182445	-8829.29
457	0.0182445	-8897.67
458	0.0182445	-8743.07
459	0.0182445	-8599.69
460	0.0182445	-8610.87
461	0.0182445	-8564.98
462	0.0182445	-8643.61
463	0.0182445	-8668.47
464	0.0182445	-8628.66
465	0.0182445	-8626.88
466	0.0182445	-8502.22
467	0.0182445	-8428.61
468	0.0182445	-8520.61
469	0.0182445	-8763.47
470	0.0182445	-8608.97
471	0.0182445	-8498.95
472	0.0182445	-8622.49
473	0.0182445	-8484.33
474	0.0182445	-8518.1
475	0.0182445	-8549.59
476	0.0182445	-8754.17
477	0.0182445	-8660.36
478	0.0182445	-8460.09
479	0.0182445	-8476.58
