sample;ploidy;run1;run2;run3;run4;run5;average;recommended_ploidy;bayes_factor_between_1stand2nd;evidence
b_TNB8_064;3;-8154.256;-8225.763;-8115.456;-8166.871;-8132.831;-8165.158;3;NA;Cannot_compare
c_MDKH2_074;3;-8252.052;-8184.274;-8188.128;-8292.19;-8334.473;-8208.151;3;NA;Cannot_compare
c_MDKH8_075;1;-8248.819;-8181.523;-8187.344;-8155.123;-8234.294;-8205.895;3;35.780;Strong
c_MDKH8_075;2;-8094.627;-8063.069;-8171.295;-8042.637;-8108.326;-8109.664;3;35.780;Strong
c_MDKH8_075;3;-8097.775;-8076.925;-8046.952;-8077.152;-8208.834;-8073.884;3;35.780;Strong
c_PJS1_180;3;-8232.328;-8467.631;-8342.999;-8229.858;-8271.977;-8347.653;3;NA;Cannot_compare
c_PJS2_181;3;-8221.651;-8221.744;-8334.057;-8219.478;-8248.28;-8259.151;3;NA;Cannot_compare
c_RHSK1_182;2;-8168.095;-8078.269;-8126.641;-8254.668;-8094.657;-8124.335;2;25.111;Strong
c_RHSK1_182;3;-8162.855;-8185.369;-8100.113;-8091.62;-8154.733;-8149.446;2;25.111;Strong
deg_UMA1_111;2;-8054.255;-8098.025;-8077.569;-8053.253;-8062.894;-8076.616;2;NA;Cannot_compare
e_OLS17_013;3;-8176.204;-8185.186;-8325.474;-8206.076;-8243.358;-8228.955;3;NA;Cannot_compare
e_OLS3_126;3;-8187.457;-8078.544;-8154.195;-8375.299;-8189.394;-8140.065;3;NA;Cannot_compare
las_PLSK1_168;2;-8651.769;-8611.403;-8657.202;-8825.767;-8605.988;-8640.125;2;NA;Cannot_compare
lyc_OLS1_183;1;-8310.344;-8045.981;-8176.658;-8049.467;-8053.753;-8177.661;2;87.880;Strong
lyc_OLS1_183;2;-8183.47;-8043.254;-8042.619;-8066.502;-8080.762;-8089.781;2;87.880;Strong
n_BDJKH2_105;1;-8289.213;-8037.379;-8237.595;-8044.242;-8038.911;-8188.062;3;11.322;Positive
n_BDJKH2_105;2;-8156.884;-8073.449;-8044.482;-8038.186;-8192.328;-8091.605;3;11.322;Positive
n_BDJKH2_105;3;-8041.369;-8081.969;-8117.512;-8106.047;-8056.086;-8080.283;3;11.322;Positive
n_BDJKH2_105;4;-8112.483;-8284.098;-8106.4;-8052.521;-8101.809;-8167.660;3;11.322;Positive
n_BDJKH5_166;2;-8095.604;-8079.039;-8127.037;-8078.556;-8113.204;-8100.560;2;9.347;Positive
n_BDJKH5_166;3;-8117.364;-8108.404;-8103.952;-8164.609;-8118.5;-8109.907;2;9.347;Positive
n_BDJKH5_166;4;-8167.006;-8110.953;-8135.467;-8226.16;-8128.825;-8137.809;2;9.347;Positive
n_BDJKH8_106;2;-8148.105;-8186.802;-8089.026;-8083.125;-8095.227;-8141.311;4;13.032;Positive
n_BDJKH8_106;3;-8121.521;-8087.252;-8286.392;-8108.369;-8124.241;-8165.055;4;13.032;Positive
n_BDJKH8_106;4;-8167.164;-8106.643;-8111.029;-8198.162;-8102.058;-8128.279;4;13.032;Positive
n_BDZKH2_023;2;-8097.497;-8129.931;-8097.819;-8144.77;-8211.895;-8108.416;2;43.309;Strong
n_BDZKH2_023;3;-8185.062;-8135.791;-8134.322;-8120.032;-8108.739;-8151.725;2;43.309;Strong
n_BDZKH2_023;4;-8344.462;-8154.026;-8093.334;-8095.78;-8115.075;-8197.274;2;43.309;Strong
n_BDZKH5_128;3;-8099.119;-8260.464;-8268.637;-8139.321;-8315.393;-8209.407;4;24.794;Strong
n_BDZKH5_128;4;-8124.271;-8280.564;-8149.002;-8172.722;-8106.569;-8184.612;4;24.794;Strong
n_BDZKH8_024;2;-8208.276;-8131.197;-8125.339;-8075.638;-8144.845;-8154.937;3;1.113;Not_worth_more_than_a_bare_mention
n_BDZKH8_024;3;-8165.905;-8150.288;-8106.258;-8080.697;-8173.15;-8140.817;3;1.113;Not_worth_more_than_a_bare_mention
n_BDZKH8_024;4;-8158.318;-8177.267;-8090.204;-8077.082;-8077.818;-8141.930;3;1.113;Not_worth_more_than_a_bare_mention
n_BHA1_067;2;-8114.57;-8152.536;-8136.394;-8080.956;-8260.445;-8134.500;4;7.716;Positive
n_BHA1_067;3;-8087.055;-8093.542;-8090.545;-8147.453;-8138.716;-8090.381;4;7.716;Positive
n_BHA1_067;4;-8087.828;-8079.468;-8080.698;-8235.589;-8131.784;-8082.665;4;7.716;Positive
n_BHD3_145;2;-8071.998;-8080.843;-8235.003;-8084.837;-8052.166;-8129.281;4;11.045;Positive
n_BHD3_145;3;-8319.885;-8242.281;-8092.048;-8063.875;-8313.89;-8218.071;4;11.045;Positive
n_BHD3_145;4;-8180.85;-8120.948;-8052.91;-8073.215;-8052.749;-8118.236;4;11.045;Positive
n_BKO22_138;2;-8123.18;-8060.853;-8061.49;-8173.64;-8076.145;-8081.841;4;9.940;Positive
n_BKO22_138;3;-8061.176;-8106.21;-8072.215;-8082.66;-8134.88;-8079.867;4;9.940;Positive
n_BKO22_138;4;-8063.569;-8075.102;-8071.109;-8103.612;-8105.004;-8069.927;4;9.940;Positive
n_BKO28_137;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
n_BKO28_137;4;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
n_BKO2_053;2;-8043.446;-8111.64;-8092.258;-8045.624;-8051.29;-8082.448;4;1.815;Not_worth_more_than_a_bare_mention
