sample;ploidy;run1;run2;run3;run4;run5
n_MFSK1_022;3;-8087.857;-8217.132;-999999.99;-8099.507;-8197.425
n_MJS1_149;1;-8241.305;-8237.334;-8290.743;-999999.99;-999999.99
n_MJS1_149;3;-8124.038;-8082.651;-8120.053;-8103.884;-8048.397
n_MJS1_149;4;-8057.7;-8187.074;-8187.586;-8099.163;-8100.148
n_MJS2_081;3;-8099.738;-8067.778;-8112.702;-999999.99;-999999.99
n_MJS2_081;4;-8085.934;-8096.522;-8053.876;-8050.414;-999999.99
n_MKJ10_046;2;-8143.327;-8042.399;-8044.937;-8042.604;-999999.99
n_MKJ1_044;2;-8044.241;-8253.56;-8127.28;-8115.797;-8183.96
n_MKJ1_044;3;-8156.653;-8216.517;-8071.006;-8092.498;-8162.624
n_MKJ1_044;4;-8049.055;-8066.429;-8054.524;-8053.875;-8202.758
n_MKJ5_045;2;-8036.891;-8039.693;-8065.857;-8068.031;-999999.99
n_MKJ5_045;3;-8047.232;-8090.054;-8079.51;-8127.751;-8126.514
n_MKJ5_045;4;-8057.34;-8044.949;-8038.468;-8053.762;-8102.75
n_MNS8_078;3;-8236.158;-8358.611;-8207.351;Error:Couldnotfindfile"output/stepping_stone_n_MNS8_078_3.out";-8205.308
n_MNS8_078;4;Error:Couldnotfindfile"output/stepping_stone_n_MNS8_078_4.out";-999999.99;-8215.338;-8197.684;-8233.867
n_MNSK10_123;2;-8103.705;-8108.166;-8353.939;-8094.664;-8127.054
n_MNSK10_123;3;-8245.181;-8128.088;-8102.61;-8132.284;-8121.496
n_MNSK10_123;4;-8231.911;-8190.976;-8102.94;-8100.344;-8204.43
n_MNSK5_122;2;-8099.588;-8130.095;-8318.971;-8129.169;-8120.078
n_MNSK5_122;3;-8142.706;-8176.204;-8152.542;-8096.624;-8147.114
n_MNSK5_122;4;-8160.933;-8200.543;-8185.425;-8104.388;-8118.581
n_NHS2_101;2;-8041.443;-999999.99;-999999.99;-999999.99;-8041.614
n_NHS2_101;3;-8089.843;-999999.99;-8068.281;-8059.966;-8113.037
n_NHS2_101;4;-8088.032;-8345.507;-8067.132;-8045.242;-999999.99
n_NHS8_102;4;-8100.205;-8088.076;-8084.982;-8271.047;-8125.301
n_OLS5_014;3;-8313.255;-8130.744;-8187.712;-8153.147;-8123.486
n_OLS5_014;4;-8184.526;-8172.321;-8177.572;-8124.668;-8134.536
n_OSA1_109;2;-8113.556;-8271.714;-8126.488;-8073.268;-8118.687
n_OSA1_109;3;-8106.103;-8077.306;-8066.531;-8065.152;-8169.476
n_OSA1_109;4;-8067.696;-8194.711;-8100.799;-8296.75;-8210.932
n_OVCJ2_020;2;-8113.247;-8153.527;-8107.084;-8060.221;-8062.922
n_OVCJ2_020;3;-8061.15;-8248.661;-8078.274;-8140.909;-8075.4
n_OVCJ2_020;4;-8122.075;-8206.585;-8065.628;-8067.847;-8063.966
n_PKS1_085;2;-8169.283;-8184.963;-8157.221;-999999.99;-999999.99
