sample;ploidy;run1;run2;run3;run4;run5
n_BDJKH2_105;1;-8289.213;-8037.379;-8237.595;-8044.242;-8038.911
n_BDJKH2_105;2;-8156.884;-8073.449;-8044.482;-8038.186;-8192.328
n_BDJKH2_105;3;-8041.369;-8081.969;-8117.512;-8106.047;-8056.086
n_BDJKH2_105;4;-8112.483;-8284.098;-8106.4;-8052.521;-8101.809
n_BDJKH5_166;2;-8095.604;-8079.039;-8127.037;-8078.556;-8113.204
n_BDJKH5_166;3;-8117.364;-8108.404;-8103.952;-8164.609;-8118.5
n_BDJKH5_166;4;-8167.006;-8110.953;-8135.467;-8226.16;-8128.825
n_BDJKH8_106;2;-8148.105;-8186.802;-8089.026;-8083.125;-8095.227
n_BDJKH8_106;3;-8121.521;-8087.252;-8286.392;-8108.369;-8124.241
n_BDJKH8_106;4;-8167.164;-8106.643;-8111.029;-8198.162;-8102.058
n_BDZKH2_023;2;-8097.497;-8129.931;-8097.819;-8144.77;-8211.895
n_BDZKH2_023;3;-8185.062;-8135.791;-8134.322;-8120.032;-8108.739
n_BDZKH2_023;4;-8344.462;-8154.026;-8093.334;-8095.78;-8115.075
n_BDZKH5_128;3;-8099.119;-8260.464;-8268.637;-8139.321;-8315.393
n_BDZKH5_128;4;-8124.271;-8280.564;-8149.002;-8172.722;-8106.569
n_BDZKH8_024;2;-8208.276;-8131.197;-8125.339;-8075.638;-8144.845
n_BDZKH8_024;3;-8165.905;-8150.288;-8106.258;-8080.697;-8173.15
n_BDZKH8_024;4;-8158.318;-8177.267;-8090.204;-8077.082;-8077.818
n_BHA1_067;2;-8114.57;-8152.536;-8136.394;-8080.956;-8260.445
n_BHA1_067;3;-8087.055;-8093.542;-8090.545;-8147.453;-8138.716
n_BHA1_067;4;-8087.828;-8079.468;-8080.698;-8235.589;-8131.784
n_BHD3_145;2;-8071.998;-8080.843;-8235.003;-8084.837;-8052.166
n_BHD3_145;3;-8319.885;-8242.281;-8092.048;-8063.875;-8313.89
n_BHD3_145;4;-8180.85;-8120.948;-8052.91;-8073.215;-8052.749
n_BKO2_053;2;-8043.446;-8111.64;-8092.258;-8045.624;-8051.29
n_BKO2_053;3;-8068.181;-8072.641;-8149.409;-8046.13;-8058.805
n_BKO2_053;4;-8070.866;-8066.929;-8104.103;-8104.911;-8117.825
n_BKO22_138;2;-8123.18;-8060.853;-8061.49;-8173.64;-8076.145
n_BKO22_138;3;-8061.176;-8106.21;-8072.215;-8082.66;-8134.88
n_BKO22_138;4;-8063.569;-8075.102;-8071.109;-8103.612;-8105.004
n_BKO28_137;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
n_BKO28_137;4;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
n_BKO31_139;2;-8295.642;-8238.763;-8204.288;-8214.181;-8307.333
n_BKO31_139;3;-8161.906;-8212.133;-8149.633;-8150.976;-8149.245
n_BKO31_139;4;-8188.086;-8255.184;-8217.441;-8163.63;-8185.849
n_BKO5_054;2;-8207.502;-8229.813;-8227.585;-8213.388;-8182.325
n_BKO5_054;3;-8175.027;-8174.981;-8321.527;-8235.794;-8182.835
n_BKO5_054;4;-8177.465;-8200.802;-8218.509;-8178.275;-8177.257
n_BKO5_055;3;-8261.663;-8370.155;-8158.298;-8175.67;-8325.099
n_BKO5_055;4;-8240.702;-8208.318;-8218.338;-8151.895;-8151.403
n_BLS2_089;1;-8021.934;-8027.857;-8158.147;-8105.923;-8058.925
n_BLS2_089;2;-8134.127;-8153.688;-8031.323;-8023.326;-8027.131
n_BLS2_089;3;-8024.822;-8045.085;-8174.475;-8039.371;-8146.833
n_BLS2_089;4;-8047.75;-8103.467;-8114.281;-8041.53;-8061.045
n_BLS5_154;3;-8235.35;-8281.497;-8261.334;-8248.174;-8205.041
n_BLS5_154;4;-8104.917;-8120.925;-8112.797;-8117.512;-8129.37
n_BLS8_090;1;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
n_BLS8_090;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
n_BLS8_090;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
n_BLS8_090;4;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
n_BNFA2_032;3;-8106.494;-8099.839;-8085.607;-8110.293;-8098.999
n_BNFA2_032;4;-8235.568;-8091.122;-8132.611;-8076.154;-8116.714
n_BNFA5_131;3;-8178.834;-8186.811;-8162.943;-8169.829;-8240.557
n_BNFA5_131;4;-8099.408;-8265.067;-8099.748;-8194.986;-8143.869
n_BNFA8_033;4;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
n_BOJ2_050;3;-8148.508;-8164.396;-8114.168;-8172.636;-8227.487
n_BOJ2_050;4;-8220.69;-8114.662;-8252.14;-8204.211;-8148.729
n_BOJ5_136;2;-8130.807;-8090.149;-8078.177;-8177.813;-8078.789
n_BOJ5_136;3;-8172.966;-8103.211;-8134.191;-8131.357;-8073.981
n_BOJ5_136;4;-8197.602;-8120.224;-8089.944;-8202.801;-8092.635
n_BOJ8_051;2;-8172.188;-8113.371;-8074.829;-8130.015;-8220.495
n_BOJ8_051;3;-8155.693;-8221.91;-8077.779;-8116.415;-8110.219
n_BOJ8_051;4;-8077.421;-8091.269;-8077.204;-8083.949;-8144.944
n_BOO1_052;2;-8233.362;-8178.056;-8044.873;-8062.507;-8154.555
n_BOO1_052;3;-8130.378;-8048.588;-8151.738;-8073.7;-8194.753
n_BOO1_052;4;-8054.416;-8110.533;-8190.561;-8096.1;-8139.28
n_BRS2_099;3;-8146.249;-8106.129;-8089.406;-8108.902;-8182.698
n_BRS2_099;4;-8078.955;-8079.182;-8098.499;-8131.286;-8110.338
n_BRS5_163;2;-8055.406;-8059.186;-8079.275;-8033.224;-8080.612
n_BRS5_163;3;-8055.412;-8108.811;-8034.496;-8059.572;-8046.587
n_BRS5_163;4;-8069.533;-8294.52;-8036.633;-8084.419;-8126.926
n_BRS8_100;2;-8160.053;-8087.584;-8125.583;-8091.438;-8063.252
n_BRS8_100;3;-8034.203;-8121.527;-8099.95;-8193.328;-8026.021
n_BRS8_100;4;-8054.362;-8057.379;-8045.996;-8047.815;-8031.55
n_CKS2_097;2;-8053.794;-8110.427;-8053.475;-8109.309;-8068.337
n_CKS2_097;3;-8193.238;-8056.89;-8068.398;-8055.077;-8279.642
n_CKS2_097;4;-8225.982;-8161.911;-8240.247;-8100.581;-8278.603
n_CKS5_151;2;-8062.36;-8088.851;-8066.736;-8120.085;-8061.667
n_CKS5_151;3;-8137.321;-8078.01;-8151.414;-8071.339;-8181.17
n_CKS5_151;4;-8140.6;-8223.54;-8166.33;-8128.001;-8135.952
n_CKS7_098;3;-8298.053;-8209.067;-8248.379;-8269.671;-8217.28
n_CKS7_098;4;-8278.59;-8178.181;-8341.288;-8255.93;-8175.676
n_CLB2_060;2;-8182.954;-8133.657;-8210.506;-8066.19;-8176.804
n_CLB2_060;3;-8046.718;-8058.087;-8056.493;-8086.634;-8054.927
n_CLB2_060;4;-8297.489;-8053.035;-8137.866;-8046.573;-8071.62
n_CLB5_142;3;-8066.611;-8117.38;-8128.305;-8066.821;-8068.354
n_CLB5_142;4;-8086.414;-8157.492;-8069.554;-8113.176;-8076.377
n_CLB8_061;3;-8158.519;-8160.669;-8141.678;-8119.831;-8168.549
n_CLB8_061;4;-8188.183;-8274.949;-8116.091;-8152.688;-8117.208
n_CLS2_095;2;-8088.199;-8077.318;-8056.716;-8049.356;-8018.385
n_CLS2_095;3;-8198.057;-8033.27;-8071.91;-8091.402;-8132.197
n_CLS2_095;4;-8090.034;-8165.215;-8024.983;-8036.312;-8029.659
n_CLS5_096;2;-8246.972;-8230.845;-8039.561;-8170.351;-8049.599
n_CLS5_096;3;-8074.345;-8083.546;-8055.571;-8185.541;-8274.049
n_CLS5_096;4;-8114.315;-8129.656;-8081.775;-8056.517;-8061.005
n_DBS3_007;2;-8128.32;-8265.297;-8159.034;-8126.827;-8147.034
n_DBS3_007;3;-8164.434;-8126.963;-8245.907;-8204.357;-8183.454
n_DBS3_007;4;-8134.099;-8174.713;-8228.9;-8168.482;-8299.952
n_DBS5_164;2;-8089.413;-8047.376;-8057.147;-8101.748;-8062.498
n_DBS5_164;3;-8056.221;-8124.616;-8066.216;-8046.954;-8044.532
n_DBS5_164;4;-8056.51;-8110.058;-8054.949;-8058.336;-8098.758
n_DBS8_008;2;-8084.79;-8075.402;-8051.504;-8051.929;-8091.705
n_DBS8_008;3;-8210.096;-8100.803;-8116.639;-8128.205;-8049.635
n_DBS8_008;4;-8190.213;-8050.448;-8110.101;-8118.541;-8124.265
n_DED5_129;2;-8269.059;-8075.163;-8320.12;-8101.29;-8097.208
n_DED5_129;3;-8072.122;-8067.773;-8082.515;-8250.712;-8086.464
n_DED5_129;4;-8069.312;-8083.564;-8104.355;-8073.326;-8155.307
n_DEU2_025;2;-8353.959;-8135.298;-8198.796;-8204.381;-8240.74
n_DEU2_025;3;-8082.685;-8111.266;-8178.972;-8188.831;-8261.5
n_DEU2_025;4;-8225.067;-8082.767;-8141.683;-8120.929;-8192.264
n_DEU8_026;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
n_DEU8_026;4;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
n_DPK10_038;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
n_DPK10_038;4;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
n_DPK1_037;3;-8277.067;-8261.508;-8245.999;-8265.323;-8233.98
n_DPK1_037;4;-8136.826;-8208.385;-8285.878;-8293.933;-8219.619
