sample;ploidy;run1;run2;run3;run4;run5;run6;run7;run8;run9;run10;average;recommended_ploidy;bayes_factor_between_1stand2nd;evidence
n_BDZKH5_128_10;3;-8087.949;-8088.187;-8087.923;-8088.08;-8088.293;-8087.867;-8088.206;-8088.004;-8088.239;-8088.033;-8088.020;3;0.733;Barely_worth_mentioning
n_BDZKH5_128_10;4;-8088.826;-8088.646;-8088.785;-8088.534;-8088.78;-8088.639;-8088.605;-8088.455;-8088.534;-8088.934;-8088.752;3;0.733;Barely_worth_mentioning
n_BDZKH5_128;3;-8088.055;-8088.114;-8088.118;-8087.989;0;-8087.834;-8088.206;-8088.026;-8088.043;-8088.221;-8088.096;3;0.450;Barely_worth_mentioning
n_BDZKH5_128;4;-8088.66;-8088.684;-8088.293;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;-8088.566;-8088.703;-8088.546;3;0.450;Barely_worth_mentioning
n_BDZKH8_024_10;4;-8079.521;-8079.415;-8079.01;-8079.266;-8079.101;Error:;-8079.671;-8079.109;0;Error:;-8079.315;4;NA;Cannot_compare
n_BDZKH8_024;2;-8077.768;-8077.57;-8077.364;-8077.418;-8077.699;-8077.6;-8077.629;-8077.62;-8077.63;-8077.695;-8077.567;3;4038.139;Very_strong
n_BDZKH8_024;3;0;-999999.99;-8078.857;-8078.479;-8078.356;-8078.88;-8078.644;-999999.99;-999999.99;-999999.99;-4039.428;3;4038.139;Very_strong
n_BDZKH8_024;4;-8079.599;-8079.345;-8078.956;-8079.453;-8079.257;-8079.578;-8079.207;-8079.414;-8079.236;-8079.321;-8079.300;3;4038.139;Very_strong
n_BKO2_053_10;2;-8047.978;-8047.814;-8048;-8048.307;-8047.634;-8047.929;-8047.902;-8048.013;-8048.052;-8047.45;-8047.931;2;0.379;Barely_worth_mentioning
n_BKO2_053_10;3;-8048.31;-999999.99;-999999.99;-999999.99;-8048.222;-8048.534;-8048.688;-8048.535;-8048.554;Error:;-8048.310;2;0.379;Barely_worth_mentioning
n_BKO2_053;2;-8047.716;-8048.272;-8047.673;-8048.023;-8047.795;-8047.762;-8047.906;-8048.042;-8047.919;-8047.841;-8047.887;2;NA;Cannot_compare
n_BKO31_139_10;2;-8153.936;-8154.046;-999999.99;-999999.99;-8154.093;-8154.05;-8154.156;-8153.911;-8154.504;-8153.898;-8153.991;3;0.460;Barely_worth_mentioning
n_BKO31_139_10;3;-8153.687;-8153.304;-8153.602;-8153.65;-999999.99;0;-8153.408;-8153.348;-8153.58;-999999.99;-8153.531;3;0.460;Barely_worth_mentioning
n_BKO31_139;2;-8153.837;-8153.951;-8154.259;-8153.588;0;-999999.99;Error:;-999999.99;-999999.99;-999999.99;-8154.016;2;NA;Cannot_compare
