sample;ploidy;run1;run2;run3;run4;run5
b_TNB8_064;3;-8154.256;-8225.763;-8115.456;-8166.871;-8132.831
c_MDKH2_074;3;-8252.052;-8184.274;-8188.128;-8292.19;-8334.473
c_MDKH8_075;1;-8248.819;-8181.523;-8187.344;-8155.123;-8234.294
c_MDKH8_075;2;-8094.627;-8063.069;-8171.295;-8042.637;-8108.326
c_MDKH8_075;3;-8097.775;-8076.925;-8046.952;-8077.152;-8208.834
c_PJS1_180;3;-8232.328;-8467.631;-8342.999;-8229.858;-8271.977
c_PJS2_181;3;-8221.651;-8221.744;-8334.057;-8219.478;-8248.28
c_RHSK1_182;2;-8168.095;-8078.269;-8126.641;-8254.668;-8094.657
c_RHSK1_182;3;-8162.855;-8185.369;-8100.113;-8091.62;-8154.733
deg_UMA1_111;2;-8054.255;-8098.025;-8077.569;-8053.253;-8062.894
e_OLS17_013;3;-8176.204;-8185.186;-8325.474;-8206.076;-8243.358
e_OLS3_126;3;-8187.457;-8078.544;-8154.195;-8375.299;-8189.394
las_PLSK1_168;2;-8651.769;-8611.403;-8657.202;-8825.767;-8605.988
lyc_OLS1_183;1;-8310.344;-8045.981;-8176.658;-8049.467;-8053.753
lyc_OLS1_183;2;-8183.47;-8043.254;-8042.619;-8066.502;-8080.762
n_BLS8_090;1;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
n_BLS8_090;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
n_BLS8_090;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
n_BLS8_090;4;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
n_BNFA8_033;3;-8295.802;-8302.184;-8253.662;-8330.624;-8093.158
n_BNFA8_033;4;-8169.093;-8071.713;-8122.262;-8078.322;-8080.847
n_CHA1_073;3;-8341.67;-8206.574;-8129.94;-8167.795;-8173.427
n_CHA1_073;4;-8148.904;-8235.952;-8147.797;-8158.527;-8269.502
n_CHA2_107;2;-8083.828;-8131.7;-8149.756;-8124.073;-8068.649
n_CHA2_107;3;-8049.586;-8047.578;-8179.098;-8082.923;-8159.723
n_CHA2_107;4;-8064.415;-8088.611;-8093.132;-8208.806;-8148.39
n_CHA3_108;2;-8255.072;-8156.091;-8272.156;-8248.557;-8123.249
n_CHA3_108;3;-8195.148;-8196.923;-8121;-8112.543;-8115.044
n_CHA3_108;4;-8388.271;-8113.483;-8250.024;-8129.834;-8121.514
n_CHA4_110;2;-8109.186;-8191.673;-8086.08;-8090.834;-8083.422
n_CHA4_110;3;-8249.808;-8196.215;-8289.721;-8101.524;-8165.801
n_CHA4_110;4;-8101.027;-8118.32;-8273.896;-8157.209;-8156.353
n_DEU8_026;2;-8104.636;-8091.089;-8095.97;-8251.617;-8059.44
n_DEU8_026;3;-8068.408;-8235.935;-8215.005;-8076.68;-8104.792
n_DEU8_026;4;-8121.982;-8080.766;-8089.667;-8065.739;-8180.059
n_DPK10_038;2;-8355.74;-8143.689;-8106.049;-8071.344;-8134.375
n_DPK10_038;3;-8124.076;-8069.183;-8065.746;-8193.397;-8104.795
n_DPK10_038;4;-8100.349;-8160.53;-8246.184;-8068.079;-8069.111
