sample;ploidy;run1;run2;run3;run4;run5;average;recommended_ploidy;bayes_factor_between_1stand2nd;evidence
b_TNB8_064;3;-8154.256;-8225.763;-8115.456;-8166.871;-8132.831;-8165.158;3;NA;Cannot_compare
c_MDKH2_074;3;-8252.052;-8184.274;-8188.128;-8292.19;-8334.473;-8208.151;3;NA;Cannot_compare
c_MDKH8_075;1;-8248.819;-8181.523;-8187.344;-8155.123;-8234.294;-8205.895;3;35.780;Strong
c_MDKH8_075;2;-8094.627;-8063.069;-8171.295;-8042.637;-8108.326;-8109.664;3;35.780;Strong
c_MDKH8_075;3;-8097.775;-8076.925;-8046.952;-8077.152;-8208.834;-8073.884;3;35.780;Strong
c_PJS1_180;3;-8232.328;-8467.631;-8342.999;-8229.858;-8271.977;-8347.653;3;NA;Cannot_compare
c_PJS2_181;3;-8221.651;-8221.744;-8334.057;-8219.478;-8248.28;-8259.151;3;NA;Cannot_compare
c_RHSK1_182;2;-8168.095;-8078.269;-8126.641;-8254.668;-8094.657;-8124.335;2;25.111;Strong
c_RHSK1_182;3;-8162.855;-8185.369;-8100.113;-8091.62;-8154.733;-8149.446;2;25.111;Strong
deg_UMA1_111;2;-8054.255;-8098.025;-8077.569;-8053.253;-8062.894;-8076.616;2;NA;Cannot_compare
e_OLS17_013;3;-8176.204;-8185.186;-8325.474;-8206.076;-8243.358;-8228.955;3;NA;Cannot_compare
e_OLS3_126;3;-8187.457;-8078.544;-8154.195;-8375.299;-8189.394;-8140.065;3;NA;Cannot_compare
las_PLSK1_168;2;-8651.769;-8611.403;-8657.202;-8825.767;-8605.988;-8640.125;2;NA;Cannot_compare
lyc_OLS1_183;1;-8310.344;-8045.981;-8176.658;-8049.467;-8053.753;-8177.661;2;87.880;Strong
lyc_OLS1_183;2;-8183.47;-8043.254;-8042.619;-8066.502;-8080.762;-8089.781;2;87.880;Strong
n_BLS8_090;1;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
n_BLS8_090;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
n_BLS8_090;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
n_BLS8_090;4;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
n_BNFA8_033;3;-8295.802;-8302.184;-8253.662;-8330.624;-8093.158;-8283.883;4;162.860;Very_strong
n_BNFA8_033;4;-8169.093;-8071.713;-8122.262;-8078.322;-8080.847;-8121.023;4;162.860;Very_strong
n_CHA1_073;3;-8341.67;-8206.574;-8129.94;-8167.795;-8173.427;-8226.061;4;48.510;Strong
n_CHA1_073;4;-8148.904;-8235.952;-8147.797;-8158.527;-8269.502;-8177.551;4;48.510;Strong
n_CHA2_107;2;-8083.828;-8131.7;-8149.756;-8124.073;-8068.649;-8121.761;4;10.035;Positive
n_CHA2_107;3;-8049.586;-8047.578;-8179.098;-8082.923;-8159.723;-8092.087;4;10.035;Positive
n_CHA2_107;4;-8064.415;-8088.611;-8093.132;-8208.806;-8148.39;-8082.053;4;10.035;Positive
n_CHA3_108;2;-8255.072;-8156.091;-8272.156;-8248.557;-8123.249;-8227.773;3;56.749;Strong
n_CHA3_108;3;-8195.148;-8196.923;-8121;-8112.543;-8115.044;-8171.024;3;56.749;Strong
n_CHA3_108;4;-8388.271;-8113.483;-8250.024;-8129.834;-8121.514;-8250.593;3;56.749;Strong
n_CHA4_110;2;-8109.186;-8191.673;-8086.08;-8090.834;-8083.422;-8128.980;2;35.435;Strong
n_CHA4_110;3;-8249.808;-8196.215;-8289.721;-8101.524;-8165.801;-8245.248;2;35.435;Strong
n_CHA4_110;4;-8101.027;-8118.32;-8273.896;-8157.209;-8156.353;-8164.414;2;35.435;Strong
n_DEU8_026;2;-8104.636;-8091.089;-8095.97;-8251.617;-8059.44;-8097.232;2;0.240;Barely_worth_mentioning
n_DEU8_026;3;-8068.408;-8235.935;-8215.005;-8076.68;-8104.792;-8173.116;2;0.240;Barely_worth_mentioning
n_DEU8_026;4;-8121.982;-8080.766;-8089.667;-8065.739;-8180.059;-8097.472;2;0.240;Barely_worth_mentioning
n_DPK10_038;2;-8355.74;-8143.689;-8106.049;-8071.344;-8134.375;-8201.826;3;82.686;Strong
n_DPK10_038;3;-8124.076;-8069.183;-8065.746;-8193.397;-8104.795;-8086.335;3;82.686;Strong
n_DPK10_038;4;-8100.349;-8160.53;-8246.184;-8068.079;-8069.111;-8169.021;3;82.686;Strong
n_HPSK1_174;4;-8168.817;-8378.527;-8143.639;-8192.533;-8120.047;-8230.328;4;NA;Cannot_compare
n_HPSK2_175;3;-8430.473;-8297.318;-8120.506;-8227.913;-8215.242;-8282.766;4;71.837;Strong
n_HPSK2_175;4;-8259.228;-8121.586;-8251.972;-8121.862;-8128.863;-8210.929;4;71.837;Strong
n_JIZ2_018;3;-8106.578;-8055.72;-8085.776;-8075.359;-8115.569;-8082.691;3;1.079;Not_worth_more_than_a_bare_mention
n_JIZ2_018;4;-8059.119;-8128.759;-8063.434;-8056.916;-8100.526;-8083.771;3;1.079;Not_worth_more_than_a_bare_mention
n_JIZ5_160;2;-8264.782;-8045.387;-8092.819;-8075.555;-8028.365;-8134.329;4;1.169;Not_worth_more_than_a_bare_mention
n_JIZ5_160;3;-8050.974;-8364.063;-8233.75;-8150.592;-8058.555;-8216.262;4;1.169;Not_worth_more_than_a_bare_mention
