sample;ploidy;run1;run2;run3;run4;run5;average;recommended_ploidy;bayes_factor_between_1stand2nd;evidence
c_MDKH8_075;1;-8218.828;-8107.935;-8179.559;-8360.61;-8269.242;-8168.774;2;36.582;Strong
c_MDKH8_075;2;-8066.123;-8093.507;-8054.245;-8166.982;-8042.186;-8071.292;2;36.582;Strong
c_MDKH8_075;3;-8105.177;-8050.985;-8167.459;-8107.771;-8048.617;-8107.874;2;36.582;Strong
c_MDKH8_075_60;1;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_MDKH8_075_60;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_MDKH8_075_60;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_MDKH8_075_70;1;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_MDKH8_075_70;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_MDKH8_075_70;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_MDKH8_075_80;1;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_MDKH8_075_80;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_MDKH8_075_80;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_RHSK1_182;2;-8072.051;-8214.807;-8160.732;-8153.379;-8154.423;-8149.197;3;33.043;Strong
c_RHSK1_182;3;-8147.207;-8122.945;-8078.309;-8083.309;-8189.07;-8116.154;3;33.043;Strong
c_RHSK1_182_60;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_RHSK1_182_60;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_RHSK1_182_70;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_RHSK1_182_70;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_RHSK1_182_80;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_RHSK1_182_80;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
