sample;ploidy;run1;run2;run3;run4;run5
c_MDKH8_075;1;-8218.828;-8107.935;-8179.559;-8360.61;-8269.242
c_MDKH8_075;2;-8066.123;-8093.507;-8054.245;-8166.982;-8042.186
c_MDKH8_075;3;-8105.177;-8050.985;-8167.459;-8107.771;-8048.617
c_MDKH8_075_60;1;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
c_MDKH8_075_60;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
c_MDKH8_075_60;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
c_MDKH8_075_70;1;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
c_MDKH8_075_70;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
c_MDKH8_075_70;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
c_MDKH8_075_80;1;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
c_MDKH8_075_80;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
c_MDKH8_075_80;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
c_RHSK1_182;2;-8072.051;-8214.807;-8160.732;-8153.379;-8154.423
c_RHSK1_182;3;-8147.207;-8122.945;-8078.309;-8083.309;-8189.07
c_RHSK1_182_60;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
c_RHSK1_182_60;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
c_RHSK1_182_70;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
c_RHSK1_182_70;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
c_RHSK1_182_80;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
c_RHSK1_182_80;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
