sample;ploidy;run1;run2;run3;run4;run5;median_ML;sd_ML;min_ML;max_ML;range_ML
c_MDKH8_075_100;1;-8116.651;-8113.091;-8223.74;-8317.612;-8240.48;-8223.74;87.333;-8317.612;-8113.091;204.521
c_MDKH8_075_100;2;-8057.585;-8106.25;-8043.427;-8096.73;-8068.37;-8068.37;26.417;-8106.25;-8043.427;62.823
c_MDKH8_075_100;3;-8051.404;-8324.406;-8046.73;-8043.353;-8170.469;-8051.404;122.488;-8324.406;-8043.353;281.053
c_MDKH8_075;1;-8218.828;-8107.935;-8179.559;-8360.61;-8269.242;-8218.828;95.039;-8360.61;-8107.935;252.675
c_MDKH8_075_2k;1;-8210.703;-8111.384;-8124.937;-8112.095;-8329.174;-8124.937;94.233;-8329.174;-8111.384;217.79
c_MDKH8_075_2k;2;-8064.42;-8195.113;-8240.036;-8115.477;-8172.607;-8172.607;68.711;-8240.036;-8064.42;175.616
c_MDKH8_075_2k;3;-8060.941;-8087.757;-8076.831;-8208.696;-8067.931;-8076.831;61.349;-8208.696;-8060.941;147.755
c_MDKH8_075;2;-8066.123;-8093.507;-8054.245;-8166.982;-8042.186;-8066.123;49.819;-8166.982;-8042.186;124.796
c_MDKH8_075;3;-8105.177;-8050.985;-8167.459;-8107.771;-8048.617;-8105.177;48.991;-8167.459;-8048.617;118.842
c_MDKH8_075_5k;1;-8241.924;-8132.708;-8152.919;-8111.288;-8275.564;-8152.919;71.793;-8275.564;-8111.288;164.276
c_MDKH8_075_5k;2;-8062.759;-8135.213;-8134.702;-8052.573;-8042.705;-8062.759;45.621;-8135.213;-8042.705;92.508
c_MDKH8_075_5k;3;-8061.197;-8043.317;-8173.91;-8126.432;-8123.007;-8123.007;53.042;-8173.91;-8043.317;130.593
c_MDKH8_075_60;1;-8266.281;-8233.564;-8262.037;-8134.285;-8144.736;-8233.564;64.043;-8266.281;-8134.285;131.996
c_MDKH8_075_60;2;-8111.826;-8060.696;-8078.129;-8186.647;-8043.213;-8078.129;56.612;-8186.647;-8043.213;143.434
c_MDKH8_075_60;3;-8043.624;-8158.55;-8050.226;-8044.603;-8042.496;-8044.603;50.762;-8158.55;-8042.496;116.054
c_MDKH8_075_70;1;-8108.181;-8332.633;-8158.997;-8161.002;-8245.92;-8161.002;88.493;-8332.633;-8108.181;224.452
c_MDKH8_075_70;2;-8063.395;-8042.271;-8205.824;-8111.733;-8169.505;-8111.733;69.138;-8205.824;-8042.271;163.553
c_MDKH8_075_70;3;-8167.746;-8044.138;-8151.708;-8083.583;-8051.439;-8083.583;57.033;-8167.746;-8044.138;123.608
c_MDKH8_075_80;1;-8121.455;-8142.915;-8152.006;-8112.835;-8113.106;-8121.455;17.974;-8152.006;-8112.835;39.171
c_MDKH8_075_80;2;-8049.27;-8097.917;-8219.408;-8053.436;-8079.708;-8079.708;69.671;-8219.408;-8049.27;170.138
c_MDKH8_075_80;3;-8071.145;-8214.148;-8066.577;-8172.206;-8137.65;-8137.65;63.991;-8214.148;-8066.577;147.571
c_MDKH8_075_90;1;-8128.584;-8116.494;-8185.8;-8166.818;-8274.173;-8166.818;62.439;-8274.173;-8116.494;157.679
c_MDKH8_075_90;2;-8043.392;-8069.689;-8081.335;-8051.246;-8121.299;-8069.689;30.669;-8121.299;-8043.392;77.907
c_MDKH8_075_90;3;-8115.359;-8054.631;-8268.95;-8052.048;-8152.027;-8115.359;89.098;-8268.95;-8052.048;216.902
c_RHSK1_182_100;2;-8158.538;-8181.898;-8073.494;-8129.215;-8158.21;-8158.21;41.742;-8181.898;-8073.494;108.404
c_RHSK1_182_100;3;-8088.383;-8074.18;-8113.27;-8193.695;-8102.405;-8102.405;46.71;-8193.695;-8074.18;119.515
c_RHSK1_182_2k;2;-8078.248;-8078.764;-8090.983;-8077.953;-8121.576;-8078.764;18.75;-8121.576;-8077.953;43.623
c_RHSK1_182_2k;3;-8103.27;-8076.977;-8098.36;-8207.05;-8083.714;-8098.36;53.165;-8207.05;-8076.977;130.073
c_RHSK1_182;2;-8072.051;-8214.807;-8160.732;-8153.379;-8154.423;-8154.423;51.03;-8214.807;-8072.051;142.756
c_RHSK1_182;3;-8147.207;-8122.945;-8078.309;-8083.309;-8189.07;-8122.945;46.144;-8189.07;-8078.309;110.761
c_RHSK1_182_5k;2;-8143.378;-8073.953;-8073.55;-8148.375;-8174.493;-8143.378;46.264;-8174.493;-8073.55;100.943
c_RHSK1_182_5k;3;-8121.166;-8095.012;-8082.722;-8184.676;-8155.904;-8121.166;42.355;-8184.676;-8082.722;101.954
c_RHSK1_182_60;2;-8075.041;-8082.913;-8093.617;-8076.289;-8222.455;-8082.913;63.259;-8222.455;-8075.041;147.414
c_RHSK1_182_60;3;-8076.333;-8266.187;-8086.022;-8088.523;-8108.308;-8088.523;79.735;-8266.187;-8076.333;189.854
c_RHSK1_182_70;2;-8074.495;-8141.805;-8075.469;-8146.918;-8259.994;-8141.805;75.671;-8259.994;-8074.495;185.499
c_RHSK1_182_70;3;-8088.091;-8081.952;-8203.541;-8230.466;-8149.899;-8149.899;66.711;-8230.466;-8081.952;148.514
c_RHSK1_182_80;2;-8075.088;-8112.035;-8147.772;-8184.328;-8099.761;-8112.035;42.8;-8184.328;-8075.088;109.24
c_RHSK1_182_80;3;-8216.216;-8075.944;-8199.052;-8250.893;-8235.341;-8216.216;69.626;-8250.893;-8075.944;174.949
c_RHSK1_182_90;2;-8078.65;-8200.272;-8171.983;-8172.686;-8095.612;-8171.983;53.349;-8200.272;-8078.65;121.622
c_RHSK1_182_90;3;-8119.325;-8132.569;-8101.436;-8220.765;-8074.823;-8119.325;55.27;-8220.765;-8074.823;145.942
