sample;ploidy;run1;run2;run3;run4;run5;average;recommended_ploidy;bayes_factor_between_1stand2nd;evidence
c_MDKH8_075_100;1;-8116.651;-8113.091;-8223.74;-8317.612;-8240.48;-8151.161;2;71.759;Strong
c_MDKH8_075_100;2;-8057.585;-8106.25;-8043.427;-8096.73;-8068.37;-8069.087;2;71.759;Strong
c_MDKH8_075_100;3;-8051.404;-8324.406;-8046.73;-8043.353;-8170.469;-8140.847;2;71.759;Strong
c_MDKH8_075;1;-8218.828;-8107.935;-8179.559;-8360.61;-8269.242;-8168.774;2;36.582;Strong
c_MDKH8_075_2k;1;-8210.703;-8111.384;-8124.937;-8112.095;-8329.174;-8149.008;3;73.832;Strong
c_MDKH8_075_2k;2;-8064.42;-8195.113;-8240.036;-8115.477;-8172.607;-8166.523;3;73.832;Strong
c_MDKH8_075_2k;3;-8060.941;-8087.757;-8076.831;-8208.696;-8067.931;-8075.176;3;73.832;Strong
c_MDKH8_075;2;-8066.123;-8093.507;-8054.245;-8166.982;-8042.186;-8071.292;2;36.582;Strong
c_MDKH8_075;3;-8105.177;-8050.985;-8167.459;-8107.771;-8048.617;-8107.874;2;36.582;Strong
c_MDKH8_075_5k;1;-8241.924;-8132.708;-8152.919;-8111.288;-8275.564;-8175.850;3;18.083;Positive
c_MDKH8_075_5k;2;-8062.759;-8135.213;-8134.702;-8052.573;-8042.705;-8110.891;3;18.083;Positive
c_MDKH8_075_5k;3;-8061.197;-8043.317;-8173.91;-8126.432;-8123.007;-8092.808;3;18.083;Positive
c_MDKH8_075_60;1;-8266.281;-8233.564;-8262.037;-8134.285;-8144.736;-8253.961;2;0.583;Barely_worth_mentioning
c_MDKH8_075_60;2;-8111.826;-8060.696;-8078.129;-8186.647;-8043.213;-8083.550;2;0.583;Barely_worth_mentioning
c_MDKH8_075_60;3;-8043.624;-8158.55;-8050.226;-8044.603;-8042.496;-8084.133;2;0.583;Barely_worth_mentioning
c_MDKH8_075_70;1;-8108.181;-8332.633;-8158.997;-8161.002;-8245.92;-8199.937;2;17.367;Positive
c_MDKH8_075_70;2;-8063.395;-8042.271;-8205.824;-8111.733;-8169.505;-8103.830;2;17.367;Positive
c_MDKH8_075_70;3;-8167.746;-8044.138;-8151.708;-8083.583;-8051.439;-8121.197;2;17.367;Positive
c_MDKH8_075_80;1;-8121.455;-8142.915;-8152.006;-8112.835;-8113.106;-8138.792;3;4.908;Positive
c_MDKH8_075_80;2;-8049.27;-8097.917;-8219.408;-8053.436;-8079.708;-8122.198;3;4.908;Positive
c_MDKH8_075_80;3;-8071.145;-8214.148;-8066.577;-8172.206;-8137.65;-8117.290;3;4.908;Positive
c_MDKH8_075_90;1;-8128.584;-8116.494;-8185.8;-8166.818;-8274.173;-8143.626;2;78.821;Strong
c_MDKH8_075_90;2;-8043.392;-8069.689;-8081.335;-8051.246;-8121.299;-8064.805;2;78.821;Strong
c_MDKH8_075_90;3;-8115.359;-8054.631;-8268.95;-8052.048;-8152.027;-8146.313;2;78.821;Strong
c_RHSK1_182_100;2;-8158.538;-8181.898;-8073.494;-8129.215;-8158.21;-8137.977;3;46.032;Strong
c_RHSK1_182_100;3;-8088.383;-8074.18;-8113.27;-8193.695;-8102.405;-8091.944;3;46.032;Strong
c_RHSK1_182_2k;2;-8078.248;-8078.764;-8090.983;-8077.953;-8121.576;-8082.665;2;10.204;Positive
c_RHSK1_182_2k;3;-8103.27;-8076.977;-8098.36;-8207.05;-8083.714;-8092.869;2;10.204;Positive
c_RHSK1_182;2;-8072.051;-8214.807;-8160.732;-8153.379;-8154.423;-8149.197;3;33.043;Strong
c_RHSK1_182;3;-8147.207;-8122.945;-8078.309;-8083.309;-8189.07;-8116.154;3;33.043;Strong
c_RHSK1_182_5k;2;-8143.378;-8073.953;-8073.55;-8148.375;-8174.493;-8096.960;2;2.673;Not_worth_more_than_a_bare_mention
c_RHSK1_182_5k;3;-8121.166;-8095.012;-8082.722;-8184.676;-8155.904;-8099.633;2;2.673;Not_worth_more_than_a_bare_mention
c_RHSK1_182_60;2;-8075.041;-8082.913;-8093.617;-8076.289;-8222.455;-8083.857;2;58.990;Strong
c_RHSK1_182_60;3;-8076.333;-8266.187;-8086.022;-8088.523;-8108.308;-8142.847;2;58.990;Strong
c_RHSK1_182_70;2;-8074.495;-8141.805;-8075.469;-8146.918;-8259.994;-8097.256;2;27.272;Strong
c_RHSK1_182_70;3;-8088.091;-8081.952;-8203.541;-8230.466;-8149.899;-8124.528;2;27.272;Strong
c_RHSK1_182_80;2;-8075.088;-8112.035;-8147.772;-8184.328;-8099.761;-8111.632;2;52.106;Strong
c_RHSK1_182_80;3;-8216.216;-8075.944;-8199.052;-8250.893;-8235.341;-8163.737;2;52.106;Strong
c_RHSK1_182_90;2;-8078.65;-8200.272;-8171.983;-8172.686;-8095.612;-8150.302;3;32.525;Strong
c_RHSK1_182_90;3;-8119.325;-8132.569;-8101.436;-8220.765;-8074.823;-8117.777;3;32.525;Strong
