sample;ploidy;run1;run2;run3;run4;run5;average;recommended_ploidy;bayes_factor_between_1stand2nd;evidence
c_MDKH8_075_100;1;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_MDKH8_075_100;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_MDKH8_075_100;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_MDKH8_075_2k;1;-8210.703;-8112.301;-8124.937;-8151.314;-8329.174;-8149.314;3;77.975;Strong
c_MDKH8_075_2k;2;-8261.042;-8195.113;-8164.036;-8115.477;-8172.607;-8206.730;3;77.975;Strong
c_MDKH8_075_2k;3;-8060.941;-8076.243;-8076.831;-8208.696;-8062.267;-8071.338;3;77.975;Strong
c_MDKH8_075_5k;1;-8241.924;-8132.708;-8316.433;-8161.003;-8275.564;-8230.355;2;44.758;Strong
c_MDKH8_075_5k;2;-8062.759;-8135.213;-8164.635;-8052.573;-8042.705;-8120.869;2;44.758;Strong
c_MDKH8_075_5k;3;-8336.359;-8043.317;-8117.206;-8126.432;-8123.007;-8165.627;2;44.758;Strong
c_MDKH8_075_80;1;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_MDKH8_075_80;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_MDKH8_075_80;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_RHSK1_182_100;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_RHSK1_182_100;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_RHSK1_182_2k;2;-8088.36;-8096.986;-8090.983;-8094.65;-8121.576;-8092.110;2;23.181;Strong
c_RHSK1_182_2k;3;-8103.27;-8106.628;-8135.973;-8207.05;-8083.714;-8115.290;2;23.181;Strong
c_RHSK1_182_5k;2;-8143.378;-8073.953;-8073.55;-8148.375;-8185.655;-8096.960;2;20.189;Strong
c_RHSK1_182_5k;3;-8121.166;-8095.012;-8135.27;-8184.676;-8148.209;-8117.149;2;20.189;Strong
c_RHSK1_182_80;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
c_RHSK1_182_80;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
