state	power	likelihood
251	0.520429	-8050.23
252	0.520429	-8045.36
253	0.520429	-8037.62
254	0.520429	-8036.54
255	0.520429	-8041.56
256	0.520429	-8035.95
257	0.520429	-8037.32
258	0.520429	-8042.15
259	0.520429	-8039.76
260	0.520429	-8037.77
261	0.520429	-8042.52
262	0.520429	-8042.18
263	0.520429	-8049.76
264	0.520429	-8074.16
265	0.520429	-8059.23
266	0.520429	-8056.2
267	0.520429	-8057.72
268	0.520429	-8046.32
269	0.520429	-8032.78
270	0.520429	-8035.25
271	0.520429	-8035.65
272	0.520429	-8035.93
273	0.520429	-8038.91
274	0.520429	-8037.63
275	0.520429	-8034.17
276	0.520429	-8041.36
277	0.520429	-8044.48
278	0.520429	-8041.09
279	0.520429	-8045.2
280	0.520429	-8048.08
281	0.520429	-8042.18
282	0.520429	-8045.46
283	0.520429	-8050.58
284	0.520429	-8043.37
285	0.520429	-8046.35
286	0.520429	-8059.86
287	0.520429	-8059.94
288	0.520429	-8046.16
289	0.520429	-8041.37
290	0.520429	-8046.47
291	0.520429	-8033.15
292	0.520429	-8042.8
293	0.520429	-8045.22
294	0.520429	-8044.95
295	0.520429	-8044.03
296	0.520429	-8044.03
297	0.520429	-8038.74
298	0.520429	-8046.7
299	0.520429	-8041.14
300	0.520429	-8047.64
301	0.520429	-8047.85
302	0.520429	-8044.91
303	0.520429	-8042.09
304	0.520429	-8031.76
305	0.520429	-8027.63
306	0.520429	-8033.78
307	0.520429	-8032.85
308	0.520429	-8029.6
309	0.520429	-8031
310	0.520429	-8038.45
311	0.520429	-8033.7
312	0.520429	-8035.68
313	0.520429	-8036.91
314	0.520429	-8046.6
315	0.520429	-8039.32
316	0.520429	-8039.05
317	0.520429	-8033.59
318	0.520429	-8047.8
319	0.520429	-8043.82
320	0.520429	-8047.38
321	0.520429	-8052.27
322	0.520429	-8048.16
323	0.520429	-8047.25
324	0.520429	-8040.28
325	0.520429	-8042.06
326	0.520429	-8036.24
327	0.520429	-8042.46
328	0.520429	-8047.51
329	0.520429	-8039.98
330	0.520429	-8051.81
331	0.520429	-8048.83
332	0.520429	-8051.82
333	0.520429	-8056.62
334	0.520429	-8060.66
335	0.520429	-8052.85
336	0.520429	-8046.89
337	0.520429	-8045.83
338	0.520429	-8048.7
339	0.520429	-8051.82
340	0.520429	-8056.57
341	0.520429	-8056.49
342	0.520429	-8052.22
343	0.520429	-8050.53
344	0.520429	-8047.5
345	0.520429	-8051.92
346	0.520429	-8044
347	0.520429	-8042.21
348	0.520429	-8040.79
349	0.520429	-8038.93
350	0.520429	-8038.49
351	0.520429	-8053.92
352	0.520429	-8046.9
353	0.520429	-8046.36
354	0.520429	-8039.04
355	0.520429	-8034.7
356	0.520429	-8033.32
357	0.520429	-8039.69
358	0.520429	-8039.26
359	0.520429	-8035.86
360	0.520429	-8045.07
361	0.520429	-8032.08
362	0.520429	-8029.85
363	0.520429	-8034.9
364	0.520429	-8034.78
365	0.520429	-8040.14
366	0.520429	-8046.61
367	0.520429	-8035.1
368	0.520429	-8042.51
369	0.520429	-8041.51
370	0.520429	-8045.77
371	0.520429	-8041.05
372	0.520429	-8045.35
373	0.520429	-8046.92
374	0.520429	-8046.95
375	0.520429	-8032.22
376	0.520429	-8035.25
377	0.520429	-8030.52
378	0.520429	-8031.43
379	0.520429	-8025.59
380	0.520429	-8029.85
381	0.520429	-8035.81
382	0.520429	-8031.68
383	0.520429	-8031.43
384	0.520429	-8037.98
385	0.520429	-8036.82
386	0.520429	-8037.53
387	0.520429	-8037.46
388	0.520429	-8043.59
389	0.520429	-8046.87
390	0.520429	-8040.42
391	0.520429	-8036.97
392	0.520429	-8043.7
393	0.520429	-8053
394	0.520429	-8050.86
395	0.520429	-8048.03
396	0.520429	-8048.84
397	0.520429	-8036.52
398	0.520429	-8041.8
399	0.520429	-8039.53
400	0.520429	-8032.56
401	0.520429	-8046.19
402	0.520429	-8043.48
403	0.520429	-8037.39
404	0.520429	-8045.22
405	0.520429	-8037.29
406	0.520429	-8035.26
407	0.520429	-8038.93
408	0.520429	-8037.46
409	0.520429	-8035.9
410	0.520429	-8043.33
411	0.520429	-8051.15
412	0.520429	-8048.88
413	0.520429	-8054.68
414	0.520429	-8034.37
415	0.520429	-8043.6
416	0.520429	-8047.92
417	0.520429	-8056.04
418	0.520429	-8045.03
419	0.520429	-8061.18
420	0.520429	-8048.41
421	0.520429	-8049.61
422	0.520429	-8048.32
423	0.520429	-8042.14
424	0.520429	-8040.5
425	0.520429	-8039.68
426	0.520429	-8043.17
427	0.520429	-8034.73
428	0.520429	-8033.28
429	0.520429	-8039.44
430	0.520429	-8036.86
431	0.520429	-8035.7
432	0.520429	-8039.94
433	0.520429	-8038.82
434	0.520429	-8049.85
435	0.520429	-8041.49
436	0.520429	-8043.35
437	0.520429	-8036.64
438	0.520429	-8033.88
439	0.520429	-8031.64
440	0.520429	-8030.25
441	0.520429	-8037.35
442	0.520429	-8038.47
443	0.520429	-8028.3
444	0.520429	-8044.74
445	0.520429	-8045.13
446	0.520429	-8045.95
447	0.520429	-8037.51
448	0.520429	-8039.64
449	0.520429	-8046.04
450	0.520429	-8037.88
451	0.520429	-8037.12
452	0.520429	-8044.09
453	0.520429	-8045.27
454	0.520429	-8038.49
455	0.520429	-8048.48
456	0.520429	-8043.96
457	0.520429	-8044.39
458	0.520429	-8044.19
459	0.520429	-8041.5
460	0.520429	-8035.19
461	0.520429	-8034.35
462	0.520429	-8036.87
463	0.520429	-8041.84
464	0.520429	-8041.45
465	0.520429	-8046.34
466	0.520429	-8050.98
467	0.520429	-8050.58
468	0.520429	-8057.49
469	0.520429	-8047.23
470	0.520429	-8045.71
471	0.520429	-8052.17
472	0.520429	-8048.18
473	0.520429	-8038.3
474	0.520429	-8037.66
475	0.520429	-8041.04
476	0.520429	-8041.44
477	0.520429	-8034.86
478	0.520429	-8035.9
479	0.520429	-8048.95
480	0.520429	-8044.54
481	0.520429	-8046.77
482	0.520429	-8038.09
483	0.520429	-8043.6
484	0.520429	-8038.79
485	0.520429	-8038.36
486	0.520429	-8049.47
487	0.520429	-8045.83
488	0.520429	-8052.87
489	0.520429	-8046.41
490	0.520429	-8041.85
491	0.520429	-8033.46
492	0.520429	-8039.38
493	0.520429	-8032.58
494	0.520429	-8043.53
495	0.520429	-8025.51
496	0.520429	-8031.83
497	0.520429	-8033.82
498	0.520429	-8025.38
499	0.520429	-8030.86
500	0.520429	-8034.14
501	0.520429	-8031.16
502	0.520429	-8027.27
503	0.520429	-8034
504	0.520429	-8032.81
505	0.520429	-8029.06
506	0.520429	-8036.21
507	0.520429	-8040.16
508	0.520429	-8032.66
509	0.520429	-8030.28
510	0.520429	-8035.69
511	0.520429	-8039.26
512	0.520429	-8031.55
513	0.520429	-8036.94
514	0.520429	-8030.7
515	0.520429	-8029.46
516	0.520429	-8036.41
517	0.520429	-8034.28
518	0.520429	-8033.74
519	0.520429	-8044.03
520	0.520429	-8040.75
521	0.520429	-8052.99
522	0.520429	-8041.2
523	0.520429	-8039
524	0.520429	-8032.19
525	0.520429	-8031
526	0.520429	-8038.94
527	0.520429	-8041.48
528	0.520429	-8048
529	0.520429	-8050.08
530	0.520429	-8056.33
531	0.520429	-8042.4
532	0.520429	-8052.54
533	0.520429	-8049.12
534	0.520429	-8068.44
535	0.520429	-8061.73
536	0.520429	-8048.92
537	0.520429	-8044.4
538	0.520429	-8037.43
539	0.520429	-8047.65
540	0.520429	-8038.48
541	0.520429	-8034.57
542	0.520429	-8041.92
543	0.520429	-8029.65
544	0.520429	-8032.31
545	0.520429	-8025.91
546	0.520429	-8033.19
547	0.520429	-8034.87
548	0.520429	-8041.2
549	0.520429	-8039.29
550	0.520429	-8038.5
551	0.520429	-8039.88
552	0.520429	-8038.97
553	0.520429	-8040.87
554	0.520429	-8053.67
555	0.520429	-8035.99
556	0.520429	-8035.58
557	0.520429	-8033.28
558	0.520429	-8050.49
559	0.520429	-8040.89
560	0.520429	-8048.32
561	0.520429	-8048.78
562	0.520429	-8039.36
563	0.520429	-8031.72
564	0.520429	-8037.46
565	0.520429	-8035.84
566	0.520429	-8034.55
567	0.520429	-8030.66
568	0.520429	-8027.75
569	0.520429	-8041.68
570	0.520429	-8040.09
571	0.520429	-8037.1
572	0.520429	-8051.09
573	0.520429	-8045.04
574	0.520429	-8046.08
575	0.520429	-8050.71
576	0.520429	-8045.55
577	0.520429	-8040.74
578	0.520429	-8040.46
579	0.520429	-8044.42
580	0.520429	-8045.51
581	0.520429	-8035.08
582	0.520429	-8040.4
583	0.520429	-8034.5
584	0.520429	-8033.94
585	0.520429	-8034.95
586	0.520429	-8028.63
587	0.520429	-8027.87
588	0.520429	-8027.73
589	0.520429	-8026.69
590	0.520429	-8035.07
591	0.520429	-8041.62
592	0.520429	-8046.88
593	0.520429	-8041.22
594	0.520429	-8049.86
595	0.520429	-8040.84
596	0.520429	-8039.75
597	0.520429	-8045.95
598	0.520429	-8040.46
599	0.520429	-8033.15
600	0.520429	-8041.23
601	0.520429	-8040.21
602	0.520429	-8042.93
603	0.520429	-8035.62
604	0.520429	-8034.49
605	0.520429	-8038.58
606	0.520429	-8041.85
607	0.520429	-8038.63
608	0.520429	-8034.52
609	0.520429	-8031.82
610	0.520429	-8028.25
611	0.520429	-8034.11
612	0.520429	-8036.66
613	0.520429	-8051.62
614	0.520429	-8048.2
615	0.520429	-8044.91
616	0.520429	-8045.27
617	0.520429	-8045.2
618	0.520429	-8050.06
619	0.520429	-8043.82
620	0.520429	-8037.09
621	0.520429	-8035.32
622	0.520429	-8032.47
623	0.520429	-8037.61
624	0.520429	-8044.41
625	0.520429	-8039.62
626	0.520429	-8036.56
627	0.520429	-8035.11
628	0.520429	-8034.52
629	0.520429	-8041.3
630	0.520429	-8051.48
631	0.520429	-8055.72
632	0.520429	-8056.1
633	0.520429	-8064.42
634	0.520429	-8051.85
635	0.520429	-8048.07
636	0.520429	-8050.25
637	0.520429	-8042.07
638	0.520429	-8044.82
639	0.520429	-8045.48
640	0.520429	-8046.27
641	0.520429	-8047.89
642	0.520429	-8055.31
643	0.520429	-8047.33
644	0.520429	-8060.62
645	0.520429	-8053.09
646	0.520429	-8046.02
647	0.520429	-8061.03
648	0.520429	-8051.24
649	0.520429	-8047.64
650	0.520429	-8053.92
651	0.520429	-8041.85
652	0.520429	-8052.96
653	0.520429	-8049.97
654	0.520429	-8049.09
655	0.520429	-8044.61
656	0.520429	-8038.32
657	0.520429	-8034.64
658	0.520429	-8030.91
659	0.520429	-8034.73
660	0.520429	-8036.75
661	0.520429	-8044.97
662	0.520429	-8040.86
663	0.520429	-8037.2
664	0.520429	-8034.76
665	0.520429	-8035.08
666	0.520429	-8040.81
667	0.520429	-8044.55
668	0.520429	-8038.52
669	0.520429	-8039.18
670	0.520429	-8041.65
671	0.520429	-8040.74
672	0.520429	-8045.34
673	0.520429	-8051.56
674	0.520429	-8042.2
675	0.520429	-8046.36
676	0.520429	-8044.04
677	0.520429	-8048.17
678	0.520429	-8042.43
679	0.520429	-8030.23
680	0.520429	-8030.94
681	0.520429	-8037.85
682	0.520429	-8039.38
683	0.520429	-8047.48
684	0.520429	-8036.51
685	0.520429	-8040.39
686	0.520429	-8033.33
687	0.520429	-8036.95
688	0.520429	-8044.76
689	0.520429	-8050.03
690	0.520429	-8043.98
691	0.520429	-8055
692	0.520429	-8051.29
693	0.520429	-8037.3
694	0.520429	-8036.76
695	0.520429	-8034.99
696	0.520429	-8049.43
697	0.520429	-8040.83
698	0.520429	-8037.19
699	0.520429	-8046.84
700	0.520429	-8043.55
701	0.520429	-8052.66
702	0.520429	-8055.4
703	0.520429	-8059.31
704	0.520429	-8071.44
705	0.520429	-8057.8
706	0.520429	-8042.25
707	0.520429	-8046.03
708	0.520429	-8044.41
709	0.520429	-8050.37
710	0.520429	-8047.04
711	0.520429	-8051.7
712	0.520429	-8044.91
713	0.520429	-8058.32
714	0.520429	-8065.63
715	0.520429	-8051.78
716	0.520429	-8057.12
717	0.520429	-8057.61
718	0.520429	-8047.63
719	0.520429	-8050.63
720	0.520429	-8048.36
721	0.520429	-8050.28
722	0.520429	-8052.22
723	0.520429	-8045.31
724	0.520429	-8044.4
725	0.520429	-8049.02
726	0.520429	-8049.56
727	0.520429	-8048.71
728	0.520429	-8050.85
729	0.520429	-8050.16
730	0.520429	-8044.59
731	0.520429	-8037.3
732	0.520429	-8038.7
733	0.520429	-8045.81
734	0.520429	-8051.41
735	0.520429	-8049.36
736	0.520429	-8049.96
737	0.520429	-8043.59
738	0.520429	-8040.71
739	0.520429	-8043.04
740	0.520429	-8050.36
741	0.520429	-8048.75
742	0.520429	-8042.81
743	0.520429	-8044.16
744	0.520429	-8054.11
745	0.520429	-8039.36
746	0.520429	-8036.28
747	0.520429	-8039.37
748	0.520429	-8038.19
749	0.520429	-8045.11
750	0.520429	-8038.95
751	0.520429	-8034.89
752	0.520429	-8032.12
753	0.520429	-8037.9
754	0.520429	-8044.47
755	0.520429	-8043.95
756	0.520429	-8052.35
757	0.520429	-8058.65
758	0.520429	-8041.66
759	0.520429	-8055.31
760	0.520429	-8059.99
761	0.520429	-8059.72
762	0.520429	-8070.08
763	0.520429	-8068.42
764	0.520429	-8063.84
765	0.520429	-8065.5
766	0.520429	-8060.66
767	0.520429	-8042.58
768	0.520429	-8044.03
769	0.520429	-8037.98
770	0.520429	-8024.79
771	0.520429	-8029.03
772	0.520429	-8041.04
773	0.520429	-8039.03
774	0.520429	-8050.16
775	0.520429	-8057.8
776	0.520429	-8045.72
777	0.520429	-8049.49
778	0.520429	-8057.59
779	0.520429	-8054.16
780	0.520429	-8054.61
781	0.520429	-8051.66
782	0.520429	-8040.76
783	0.520429	-8050.1
784	0.520429	-8048.42
785	0.520429	-8044.23
786	0.520429	-8053.09
787	0.520429	-8051.79
788	0.520429	-8046.86
789	0.520429	-8045.58
790	0.520429	-8057.27
791	0.520429	-8048.51
792	0.520429	-8062.92
793	0.520429	-8064.18
794	0.520429	-8052.36
795	0.520429	-8044.17
796	0.520429	-8045.06
797	0.520429	-8051.42
798	0.520429	-8049.05
799	0.520429	-8044.2
800	0.520429	-8039.36
801	0.520429	-8039.72
802	0.520429	-8044.06
803	0.520429	-8037.84
804	0.520429	-8040.26
805	0.520429	-8041.48
806	0.520429	-8053.89
807	0.520429	-8045.25
808	0.520429	-8051.71
809	0.520429	-8043.85
810	0.520429	-8040.57
811	0.520429	-8037.72
812	0.520429	-8050.39
813	0.520429	-8040.7
814	0.520429	-8042.48
815	0.520429	-8045.54
816	0.520429	-8047.56
817	0.520429	-8043.45
818	0.520429	-8038.67
819	0.520429	-8038.44
820	0.520429	-8038.16
821	0.520429	-8038.17
822	0.520429	-8041.39
823	0.520429	-8035.7
824	0.520429	-8031.12
825	0.520429	-8031.33
826	0.520429	-8037.23
827	0.520429	-8043.39
828	0.520429	-8043.5
829	0.520429	-8031.26
830	0.520429	-8038.65
831	0.520429	-8041.21
832	0.520429	-8037.13
833	0.520429	-8037.16
834	0.520429	-8047.24
835	0.520429	-8057.62
836	0.520429	-8055.87
837	0.520429	-8048.32
838	0.520429	-8050.62
839	0.520429	-8056.75
840	0.520429	-8062.62
841	0.520429	-8055.23
842	0.520429	-8055.4
843	0.520429	-8046.09
844	0.520429	-8044.42
845	0.520429	-8043.02
846	0.520429	-8045.32
847	0.520429	-8048.15
848	0.520429	-8062.13
849	0.520429	-8050.61
850	0.520429	-8058.47
851	0.520429	-8057.35
852	0.520429	-8059.74
853	0.520429	-8052.09
854	0.520429	-8045.44
855	0.520429	-8041.77
856	0.520429	-8034.57
857	0.520429	-8046.99
858	0.520429	-8044.68
859	0.520429	-8061.77
860	0.520429	-8054.1
861	0.520429	-8049.67
862	0.520429	-8054.37
863	0.520429	-8051.08
864	0.520429	-8058.1
865	0.520429	-8062.84
866	0.520429	-8048.68
867	0.520429	-8047.58
868	0.520429	-8044.88
869	0.520429	-8047.74
870	0.520429	-8051.43
871	0.520429	-8047.01
872	0.520429	-8046.92
873	0.520429	-8037.5
874	0.520429	-8036.07
875	0.520429	-8035.51
876	0.520429	-8040.47
877	0.520429	-8040.55
878	0.520429	-8043.05
879	0.520429	-8039.39
880	0.520429	-8035.46
881	0.520429	-8028.52
882	0.520429	-8030.44
883	0.520429	-8029.54
884	0.520429	-8035.46
885	0.520429	-8033.38
886	0.520429	-8036.59
887	0.520429	-8050.95
888	0.520429	-8043.28
889	0.520429	-8042.12
890	0.520429	-8040.45
891	0.520429	-8045.46
892	0.520429	-8049.39
893	0.520429	-8046.21
894	0.520429	-8042.53
895	0.520429	-8046.59
896	0.520429	-8037.99
897	0.520429	-8039.92
898	0.520429	-8037.31
899	0.520429	-8043.96
900	0.520429	-8052.86
901	0.520429	-8052.79
902	0.520429	-8051.83
903	0.520429	-8049.68
904	0.520429	-8050.2
905	0.520429	-8047.94
906	0.520429	-8053.79
907	0.520429	-8055.66
908	0.520429	-8050.85
909	0.520429	-8042.03
910	0.520429	-8041.57
911	0.520429	-8046.18
912	0.520429	-8031.54
913	0.520429	-8040.26
914	0.520429	-8040.56
915	0.520429	-8043.59
916	0.520429	-8049.5
917	0.520429	-8043.91
918	0.520429	-8044.98
919	0.520429	-8039.97
920	0.520429	-8035.08
921	0.520429	-8041.05
922	0.520429	-8050.51
923	0.520429	-8054.41
924	0.520429	-8047.14
925	0.520429	-8047.11
926	0.520429	-8043.31
927	0.520429	-8053.16
928	0.520429	-8068.17
929	0.520429	-8066.98
930	0.520429	-8052.04
931	0.520429	-8054.63
932	0.520429	-8060.19
933	0.520429	-8046.98
934	0.520429	-8045.71
935	0.520429	-8041.23
936	0.520429	-8059.04
937	0.520429	-8038.78
938	0.520429	-8042.28
939	0.520429	-8043.72
940	0.520429	-8030.75
941	0.520429	-8030.23
942	0.520429	-8032.88
943	0.520429	-8037.07
944	0.520429	-8031.51
945	0.520429	-8048.74
946	0.520429	-8037.73
947	0.520429	-8042.39
948	0.520429	-8048.61
949	0.520429	-8047.32
950	0.520429	-8048.34
951	0.520429	-8051.99
952	0.520429	-8039.81
953	0.520429	-8045.22
954	0.520429	-8038.02
955	0.520429	-8042.02
956	0.520429	-8055.33
957	0.520429	-8043.82
958	0.520429	-8049.33
959	0.520429	-8050.51
960	0.520429	-8045.56
961	0.520429	-8044.03
962	0.520429	-8039.67
963	0.520429	-8043.76
964	0.520429	-8040.84
965	0.520429	-8046.6
966	0.520429	-8045.79
967	0.520429	-8046.77
968	0.520429	-8041.19
969	0.520429	-8059.62
970	0.520429	-8050.39
971	0.520429	-8047.98
972	0.520429	-8043.63
973	0.520429	-8049.69
974	0.520429	-8035
975	0.520429	-8034.66
976	0.520429	-8067.09
977	0.520429	-8053.57
978	0.520429	-8060.44
979	0.520429	-8054.46
980	0.520429	-8061.87
981	0.520429	-8059.5
982	0.520429	-8049.64
983	0.520429	-8036.84
984	0.520429	-8050.86
985	0.520429	-8039.39
986	0.520429	-8031.96
987	0.520429	-8031.94
988	0.520429	-8033.93
989	0.520429	-8040.42
990	0.520429	-8041.89
991	0.520429	-8036.15
992	0.520429	-8050.63
993	0.520429	-8047.09
994	0.520429	-8044.09
995	0.520429	-8041.91
996	0.520429	-8050.66
997	0.520429	-8047.31
998	0.520429	-8048.51
999	0.520429	-8061.77
1000	0.520429	-8061.23
